Month,Co_Code,Co_Name,Momentum_Label,Size_Label,BM_Label,BM,Monthly_Return,Size,Price_EOM,Momentum,OpProf_Label,Inv_Label,OpProf,Inv,Year
2009-10-01,11,20 MICRONS LTD.,N,S,N,0.7284821159603614,0.9427657063688536,560.3432,39.1,1.0634716392295869,R,N,1.017756680731364,0.1577328126848893,2009
2009-11-01,11,20 MICRONS LTD.,W,S,N,0.6495701252483229,1.1100810228986486,628.4156,43.85,2.476945989144133,R,N,1.017756680731364,0.1577328126848893,2009
2009-12-01,11,20 MICRONS LTD.,W,S,N,0.6341316123983163,1.053946099229365,661.3769,46.15,2.3591437428799624,R,N,1.017756680731364,0.1577328126848893,2009
2010-01-01,11,20 MICRONS LTD.,W,S,N,0.5475242998177269,1.147816349057015,765.9934,53.45,2.790862112488253,R,N,1.017756680731364,0.1577328126848893,2010
2010-02-01,11,20 MICRONS LTD.,W,S,N,0.7270849907571444,0.7493538459403087,576.8239,40.25,3.1068072126808524,R,N,1.017756680731364,0.1577328126848893,2010
2010-03-01,11,20 MICRONS LTD.,W,S,N,0.7491077784218424,0.9471073007223804,555.3273,38.75,3.338383089452209,R,N,1.017756680731364,0.1577328126848893,2010
2010-04-01,11,20 MICRONS LTD.,W,S,N,0.7105979015155721,1.1623997434331883,585.4225,40.85,2.6218298750857305,R,N,1.017756680731364,0.1577328126848893,2010
2010-05-01,11,20 MICRONS LTD.,N,S,N,0.695279652841521,1.0444339580502608,598.3204,41.75,1.5703676202493455,R,N,1.017756680731364,0.1577328126848893,2010
2010-06-01,11,20 MICRONS LTD.,N,S,N,0.7546621397124949,1.0170557969326917,589.0053,41.1,1.7438807452130178,R,N,1.017756680731364,0.1577328126848893,2010
2010-07-01,11,20 MICRONS LTD.,N,S,N,0.6075732744303914,1.55774758596879,731.599,51.05,1.9176931360938385,R,N,1.017756680731364,0.1577328126848893,2010
2010-08-01,11,20 MICRONS LTD.,N,S,N,0.5696348121839055,1.1857941669955991,780.3245,54.45,1.8381798440309485,R,N,1.017756680731364,0.1577328126848893,2010
2010-09-01,11,20 MICRONS LTD.,N,S,N,0.5589580497246749,1.1361812230742745,823.3176,57.45,2.0565950336804986,R,N,1.017756680731364,0.1577328126848893,2010
2010-10-01,11,20 MICRONS LTD.,N,S,N,0.5881344826621098,0.9029212592492186,782.4741,54.6,2.049382636081794,R,A,0.8402680815414689,0.23712183156173355,2010
2010-11-01,11,20 MICRONS LTD.,W,S,N,0.572408919877304,1.042776992089946,803.9707,56.1,2.469828987499879,R,A,0.8402680815414689,0.23712183156173355,2010
2010-12-01,11,20 MICRONS LTD.,N,S,N,0.7315952992030257,0.6320779218451865,647.7625,45.2,2.0089174155058225,R,A,0.8402680815414689,0.23712183156173355,2010
2011-01-01,11,20 MICRONS LTD.,W,S,N,0.7799082213089555,0.9192266634876598,607.6356,42.4,1.987628078352399,R,A,0.8402680815414689,0.23712183156173355,2011
2011-02-01,11,20 MICRONS LTD.,N,S,N,0.8424996728847018,0.9212481641507693,562.4928,39.25,1.0945442850663913,R,A,0.8402680815414689,0.23712183156173355,2011
2011-03-01,11,20 MICRONS LTD.,N,S,N,0.8377196220043776,0.9194356108897674,532.3977,37.15,1.342669149764009,R,A,0.8402680815414689,0.23712183156173355,2011
2011-04-01,11,20 MICRONS LTD.,N,S,N,0.7618429424902528,1.1118386511849043,585.4225,40.85,1.306009876957481,R,A,0.8402680815414689,0.23712183156173355,2011
2011-05-01,11,20 MICRONS LTD.,N,S,N,0.6090271201415237,1.243088558116975,732.3155,51.1,1.033028436071304,R,A,0.8402680815414689,0.23712183156173355,2011
2011-06-01,11,20 MICRONS LTD.,N,S,N,0.7261156050593112,0.9086671387735378,670.6921,46.8,1.0996970503920538,R,A,0.8402680815414689,0.23712183156173355,2011
2011-07-01,11,20 MICRONS LTD.,W,S,N,0.6328158277244021,1.1563865562235969,769.5762,53.7,1.3440961890784224,R,A,0.8402680815414689,0.23712183156173355,2011
2011-08-01,11,20 MICRONS LTD.,N,S,N,0.6264001554810078,1.0652141445362977,777.4583,54.25,0.7840397567406507,R,A,0.8402680815414689,0.23712183156173355,2011
2011-09-01,11,20 MICRONS LTD.,N,S,N,0.6656611082620145,0.9750247866323908,768.8597,53.65,0.7645956266903045,R,A,0.8402680815414689,0.23712183156173355,2011
2011-10-01,11,20 MICRONS LTD.,N,S,N,0.5232632857805809,1.256890819313244,978.0927,68.25,0.7168381767455635,R,A,0.8237980769230776,0.30841044282881686,2011
2011-11-01,11,20 MICRONS LTD.,N,S,N,0.6320835377807001,0.8242966767485855,809.7031,56.5,0.7740818849613322,R,A,0.8237980769230776,0.30841044282881686,2011
2011-12-01,11,20 MICRONS LTD.,W,S,G,0.572778195840453,1.133034269217925,893.5396,62.35,0.9330244356989683,R,A,0.8237980769230776,0.30841044282881686,2011
2012-01-01,11,20 MICRONS LTD.,W,S,N,0.5657172318901303,1.0378361049502767,921.4851,64.3,1.2167628627602267,R,A,0.8237980769230776,0.30841044282881686,2012
2012-02-01,11,20 MICRONS LTD.,W,S,G,0.4675529214658183,1.2303924122124614,1114.954,77.8,1.4997759266341724,R,A,0.8237980769230776,0.30841044282881686,2012
2012-03-01,11,20 MICRONS LTD.,W,S,G,0.4524330404741408,1.0256661592998673,1152.2147,80.4,1.689579058679638,R,A,0.8237980769230776,0.30841044282881686,2012
2012-04-01,11,20 MICRONS LTD.,W,S,G,0.4055134974304578,1.1378016272330869,1291.9422,90.15,2.261001454599669,R,A,0.8237980769230776,0.30841044282881686,2012
2012-05-01,11,20 MICRONS LTD.,W,S,G,0.4055134974304578,0.9950688564940887,1291.9422,90.15,2.0857636813032405,R,A,0.8237980769230776,0.30841044282881686,2012
2012-06-01,11,20 MICRONS LTD.,W,S,G,0.42532915922435355,0.9400685222293703,1231.7519,85.95,1.9091039774393797,R,A,0.8237980769230776,0.30841044282881686,2012
2012-07-01,11,20 MICRONS LTD.,W,S,G,0.3998148256375517,1.1420406110393184,1389.3932,96.95,2.090633446173704,R,A,0.8237980769230776,0.30841044282881686,2012
2012-08-01,11,20 MICRONS LTD.,W,S,G,0.3234213472178807,1.2430818438798925,1717.5737,119.85,1.6995516626256897,R,A,0.8237980769230776,0.30841044282881686,2012
2012-09-01,11,20 MICRONS LTD.,W,S,G,0.3479537594195718,0.9417048154190509,1596.4765,111.4,1.8221284698795068,R,A,0.8237980769230776,0.30841044282881686,2012
2012-10-01,11,20 MICRONS LTD.,W,S,G,0.38527524455238854,1.0136191129089374,1817.402,114.8,2.323074089169641,R,A,0.95542600896861,0.25288880469785946,2012
2012-11-01,11,20 MICRONS LTD.,W,S,G,0.32260830426579684,1.2017439293959793,2170.4339,137.1,1.740525129733697,R,A,0.95542600896861,0.25288880469785946,2012
2012-12-01,11,20 MICRONS LTD.,W,S,G,0.26684873399129166,1.1288816247901516,2482.3052,156.8,2.1402846666267488,R,A,0.95542600896861,0.25288880469785946,2012
2013-01-01,11,20 MICRONS LTD.,W,S,G,0.3040834356470346,0.8613140627079929,2178.3495,68.8,2.2700761796669764,R,A,0.95542600896861,0.25288880469785946,2013
2013-02-01,11,20 MICRONS LTD.,W,S,N,0.64971866122645,0.4559507965403695,1019.5182,32.2,2.469221560009858,R,A,0.95542600896861,0.25288880469785946,2013
2013-03-01,11,20 MICRONS LTD.,W,S,N,0.6737823398230995,0.9857136493101555,983.1068,31.05,1.7285341103119642,R,A,0.95542600896861,0.25288880469785946,2013
2013-04-01,11,20 MICRONS LTD.,N,S,N,0.6921631961972998,0.98940608909604,972.0251,30.7,0.7684045118364092,R,A,0.95542600896861,0.25288880469785946,2013
2013-05-01,11,20 MICRONS LTD.,N,S,N,0.6955617001893358,0.9794217994218603,967.2758,30.55,0.6656932081830212,R,A,0.95542600896861,0.25288880469785946,2013
2013-06-01,11,20 MICRONS LTD.,L,S,N,0.6989937419904801,0.9998000100000001,962.5265,30.4,0.6619048615055031,R,A,0.95542600896861,0.25288880469785946,2013
2013-07-01,11,20 MICRONS LTD.,N,S,N,0.6884585462303102,0.9894041393840409,956.1941,30.2,0.6896136134463822,R,A,0.95542600896861,0.25288880469785946,2013
2013-08-01,11,20 MICRONS LTD.,L,S,N,0.6839292216889612,1.0091922221717218,962.5265,30.4,0.6037225742720035,R,A,0.95542600896861,0.25288880469785946,2013
2013-09-01,11,20 MICRONS LTD.,L,S,N,0.707741996042639,1.0092931514868702,960.9434,30.35,0.4805199407948424,R,A,0.95542600896861,0.25288880469785946,2013
2013-10-01,11,20 MICRONS LTD.,L,S,N,0.6447380666483562,1.1231052405976643,1101.3775,33.8,0.5149564692761799,R,A,0.7739137990962811,0.28414474347344015,2013
2013-11-01,11,20 MICRONS LTD.,L,S,N,0.6842118194917987,0.9560048836770827,1037.8365,31.85,0.5127587188670155,R,A,0.7739137990962811,0.28414474347344015,2013
