co_code,company_name,Month,monthly_ret,prev_mcap,Size_Label_annual,BM_Label,OP_Label,INV_Label,AT_Label,SG_Label,ACC_Label,Size_Label_monthly_mom,Mom_Label,weight_mom,Size_Label_monthly_vol,Vol_Label,weight_vol,Size_Label_monthly_str,Str_Label,weight_str,Month_str
365,A B G SHIPYARD LTD.,2006-10,-0.0320415097904138,14095.1545,S,N,R,A,L,H,A,,,,,,,,,,2006-10
365,A B G SHIPYARD LTD.,2006-11,-0.1330964128192637,13784.5315,S,N,R,A,L,H,A,S,N,13784.5315,S,,13784.5315,S,L,13784.5315,2006-11
365,A B G SHIPYARD LTD.,2006-12,0.104239865750197,11966.6232,S,N,R,A,L,H,A,S,L,11966.6232,S,N,11966.6232,S,L,11966.6232,2006-12
365,A B G SHIPYARD LTD.,2007-01,0.3590681934300241,13265.1292,S,N,R,A,L,H,A,S,L,13265.1292,S,N,13265.1292,S,H,13265.1292,2007-01
365,A B G SHIPYARD LTD.,2007-02,-0.0411492948940437,18431.1459,S,N,R,A,L,H,A,S,L,18431.1459,S,H,18431.1459,S,H,18431.1459,2007-02
365,A B G SHIPYARD LTD.,2007-03,0.0058660494378812,17438.1708,S,N,R,A,L,H,A,S,L,17438.1708,S,N,17438.1708,S,H,17438.1708,2007-03
365,A B G SHIPYARD LTD.,2007-04,0.147749593568268,17369.4263,S,N,R,A,L,H,A,S,N,17369.4263,S,H,17369.4263,S,N,17369.4263,2007-04
365,A B G SHIPYARD LTD.,2007-05,0.0684236584829642,19953.7077,S,N,R,A,L,H,A,S,N,19953.7077,S,H,19953.7077,S,H,19953.7077,2007-05
365,A B G SHIPYARD LTD.,2007-06,0.0547713389592172,21252.2136,S,N,R,A,L,H,A,S,N,21252.2136,S,H,21252.2136,S,N,21252.2136,2007-06
365,A B G SHIPYARD LTD.,2007-07,0.3175342003778172,22349.5785,S,N,R,A,L,H,A,S,N,22349.5785,S,H,22349.5785,S,N,22349.5785,2007-07
365,A B G SHIPYARD LTD.,2007-08,-0.0994143131899765,29852.9058,S,N,R,A,L,H,A,S,W,29852.9058,S,H,29852.9058,S,H,29852.9058,2007-08
365,A B G SHIPYARD LTD.,2007-09,0.200257309888117,27110.7669,S,N,R,A,L,H,A,S,W,27110.7669,S,H,27110.7669,S,L,27110.7669,2007-09
365,A B G SHIPYARD LTD.,2007-10,0.1823386473844841,32941.3131,S,N,W,A,L,N,N,S,W,32941.3131,S,H,32941.3131,S,H,32941.3131,2007-10
365,A B G SHIPYARD LTD.,2007-11,0.2972778357523857,39072.2979,S,N,W,A,L,N,N,S,W,39072.2979,S,H,39072.2979,S,H,39072.2979,2007-11
365,A B G SHIPYARD LTD.,2007-12,0.0008108187880373,50570.4406,S,N,W,A,L,N,N,S,W,50570.4406,S,H,50570.4406,S,H,50570.4406,2007-12
365,A B G SHIPYARD LTD.,2008-01,-0.2773930876739559,50534.7953,S,N,W,A,L,N,N,S,W,50534.7953,S,N,50534.7953,S,L,50534.7953,2008-01
365,A B G SHIPYARD LTD.,2008-02,-0.0269376548315944,36429.4564,S,N,W,A,L,N,N,S,W,36429.4564,S,N,36429.4564,S,L,36429.4564,2008-02
365,A B G SHIPYARD LTD.,2008-03,0.0388923413810957,35151.3192,S,N,W,A,L,N,N,S,W,35151.3192,S,N,35151.3192,S,N,35151.3192,2008-03
365,A B G SHIPYARD LTD.,2008-04,-0.1685010310383238,37419.8855,S,N,W,A,L,N,N,S,W,37419.8855,S,N,37419.8855,S,H,37419.8855,2008-04
365,A B G SHIPYARD LTD.,2008-05,-0.0905374694586043,30861.1575,S,N,W,A,L,N,N,S,W,30861.1575,S,N,30861.1575,S,L,30861.1575,2008-05
365,A B G SHIPYARD LTD.,2008-06,-0.4005133193532281,27953.5227,S,N,W,A,L,N,N,S,W,27953.5227,S,N,27953.5227,S,N,27953.5227,2008-06
365,A B G SHIPYARD LTD.,2008-07,-0.0140114809336057,17089.3564,S,N,W,A,L,N,N,S,N,17089.3564,S,H,17089.3564,S,L,17089.3564,2008-07
365,A B G SHIPYARD LTD.,2008-08,0.0714672094690285,17102.0869,S,N,W,A,L,N,N,S,L,17102.0869,S,N,17102.0869,S,N,17102.0869,2008-08
365,A B G SHIPYARD LTD.,2008-09,-0.1769055245747857,18273.2883,S,N,W,A,L,N,N,S,L,18273.2883,S,N,18273.2883,S,H,18273.2883,2008-09
365,A B G SHIPYARD LTD.,2008-10,-0.6116695731094819,15088.1296,S,G,N,N,L,N,N,S,L,15088.1296,S,N,15088.1296,S,N,15088.1296,2008-10
365,A B G SHIPYARD LTD.,2008-11,-0.1669539967954982,5881.468,S,G,N,N,L,N,N,S,L,5881.468,S,H,5881.468,S,L,5881.468,2008-11
365,A B G SHIPYARD LTD.,2008-12,0.369324577773011,4919.046,S,G,N,N,L,N,N,S,L,4919.046,S,N,4919.046,S,N,4919.046,2008-12
365,A B G SHIPYARD LTD.,2009-01,-0.476094782869913,6770.0534,S,G,N,N,L,N,N,S,L,6770.0534,S,H,6770.0534,S,H,6770.0534,2009-01
365,A B G SHIPYARD LTD.,2009-02,0.1652816528455944,3572.1643,S,G,N,N,L,N,N,S,L,3572.1643,S,H,3572.1643,S,L,3572.1643,2009-02
365,A B G SHIPYARD LTD.,2009-03,-0.0067457283423022,4229.0556,S,G,N,N,L,N,N,S,L,4229.0556,S,H,4229.0556,S,H,4229.0556,2009-03
365,A B G SHIPYARD LTD.,2009-04,0.4108432557128738,4218.8712,S,G,N,N,L,N,N,S,L,4218.8712,S,H,4218.8712,S,L,4218.8712,2009-04
365,A B G SHIPYARD LTD.,2009-05,0.975288174751752,5833.0923,S,G,N,N,L,N,N,S,L,5833.0923,S,H,5833.0923,S,H,5833.0923,2009-05
365,A B G SHIPYARD LTD.,2009-06,-0.1143101577649722,11470.1357,S,G,N,N,L,N,N,S,L,11470.1357,S,H,11470.1357,S,H,11470.1357,2009-06
365,A B G SHIPYARD LTD.,2009-07,0.0444318381562343,10161.4454,S,G,N,N,L,N,N,S,L,10161.4454,S,H,10161.4454,S,L,10161.4454,2009-07
365,A B G SHIPYARD LTD.,2009-08,0.0226410660334948,10645.2025,S,G,N,N,L,N,N,S,L,10645.2025,S,H,10645.2025,S,N,10645.2025,2009-08
365,A B G SHIPYARD LTD.,2009-09,0.1162121568413421,10932.9107,S,G,N,N,L,N,N,S,L,10932.9107,S,H,10932.9107,S,N,10932.9107,2009-09
365,A B G SHIPYARD LTD.,2009-10,-0.2109989463433985,12086.2895,S,V,N,A,L,H,N,S,L,12086.2895,S,H,12086.2895,S,N,12086.2895,2009-10
365,A B G SHIPYARD LTD.,2009-11,0.0172710338576724,9502.0081,S,V,N,A,L,H,N,S,N,9502.0081,S,H,9502.0081,S,L,9502.0081,2009-11
365,A B G SHIPYARD LTD.,2009-12,0.0968716791221537,9670.05,S,V,N,A,L,H,N,S,N,9670.05,S,H,9670.05,S,L,9670.05,2009-12
365,A B G SHIPYARD LTD.,2010-01,0.3838411746776025,10800.514,S,V,N,A,L,H,N,S,L,10800.514,S,H,10800.514,S,N,10800.514,2010-01
365,A B G SHIPYARD LTD.,2010-02,-0.1859207765565355,15177.2428,S,V,N,A,L,H,N,S,W,15177.2428,S,H,15177.2428,S,H,15177.2428,2010-02
