"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2026","33,655.43","37,472.06","37,472.06","33,655.43","","-11.30%"
"01-02-2026","37,943.67","37,392.92","39,107.40","37,392.92","","-0.51%"
"01-01-2026","38,138.83","39,359.02","39,632.99","37,729.14","","-3.04%"
"01-12-2025","39,333.55","39,403.02","39,419.07","38,774.13","","-0.28%"
"01-11-2025","39,443.91","38,762.65","39,462.93","38,366.88","","1.92%"
"01-10-2025","38,700.60","37,331.20","39,199.80","37,331.20","","4.62%"
"01-09-2025","36,992.70","37,006.87","38,213.97","36,938.57","","0.77%"
"01-08-2025","36,709.00","36,863.40","37,696.23","36,566.63","","-1.21%"
"01-07-2025","37,158.88","38,254.39","38,254.39","37,027.65","","-2.77%"
"01-06-2025","38,217.32","36,921.62","38,398.23","36,674.69","","3.37%"
"01-05-2025","36,972.50","36,293.51","37,361.05","35,789.63","","1.92%"
"01-04-2025","36,274.87","34,527.01","36,277.48","33,030.49","","3.48%"
"01-03-2025","35,054.08","32,965.25","35,276.65","32,910.63","","6.31%"
"01-02-2025","32,973.36","34,958.89","35,341.64","32,973.36","","-5.79%"
"01-01-2025","34,998.01","35,301.63","35,964.43","33,974.58","","-0.45%"
"01-12-2024","35,155.77","36,094.39","36,826.27","35,070.59","","-2.02%"
"01-11-2024","35,878.82","36,118.25","36,393.85","34,717.32","","-0.26%"
"01-10-2024","35,971.14","38,294.54","38,294.54","35,902.92","","-6.12%"
"01-09-2024","38,315.21","37,525.28","38,916.76","36,892.07","","2.28%"
"01-08-2024","37,461.73","37,049.70","37,461.73","35,554.15","","1.36%"
"01-07-2024","36,959.48","35,733.58","36,959.48","35,706.77","","4.00%"
"01-06-2024","35,539.16","34,369.13","35,585.62","33,441.40","","6.77%"
"01-05-2024","33,285.90","33,340.20","33,895.66","32,329.72","","0.03%"
"01-04-2024","33,276.41","33,066.13","33,495.65","32,379.90","","1.24%"
"01-03-2024","32,867.23","32,884.29","33,112.15","32,117.30","","1.57%"
"01-02-2024","32,360.25","31,898.06","32,705.70","31,803.52","","1.32%"
"01-01-2024","31,939.59","31,949.36","32,471.80","31,223.30","","0.02%"
"01-12-2023","31,933.93","29,783.34","32,003.47","29,783.34","","7.94%"
"01-11-2023","29,585.36","27,886.24","29,585.36","27,886.24","","5.60%"
"01-10-2023","28,017.36","28,647.04","29,061.80","27,690.29","","-2.74%"
"01-09-2023","28,807.77","28,509.94","29,620.53","28,509.94","","2.00%"
"01-08-2023","28,243.74","28,880.78","28,880.78","28,243.74","","-2.31%"
"01-07-2023","28,910.43","28,254.90","29,231.71","28,254.90","","3.03%"
"01-06-2023","28,059.65","26,989.35","28,059.65","26,989.35","","3.70%"
"01-05-2023","27,057.44","26,423.30","27,188.18","26,308.78","","2.87%"
"01-04-2023","26,302.92","25,321.85","26,302.92","25,321.85","","4.10%"
"01-03-2023","25,266.06","25,398.40","25,840.12","24,662.53","","0.32%"
"01-02-2023","25,184.47","25,619.24","26,249.52","25,184.47","","-1.95%"
"01-01-2023","25,685.94","26,460.41","26,511.45","25,601.88","","-2.43%"
"01-12-2022","26,326.37","27,354.74","27,354.74","25,892.35","","-3.48%"
"01-11-2022","27,276.01","26,380.97","27,276.01","26,214.31","","4.18%"
"01-10-2022","26,182.36","24,520.52","26,182.36","24,520.52","","5.48%"
"01-09-2022","24,821.08","25,472.24","26,237.81","24,419.98","","-3.74%"
"01-08-2022","25,786.59","25,128.57","26,067.35","25,128.57","","3.72%"
"01-07-2022","24,862.70","22,788.18","24,862.70","22,788.18","","8.91%"
"01-06-2022","22,828.93","23,868.85","24,020.89","22,114.97","","-4.71%"
"01-05-2022","23,958.10","24,558.61","24,558.61","22,729.28","","-2.64%"
"01-04-2022","24,606.78","25,413.94","25,964.72","24,386.78","","-2.04%"
"01-03-2022","25,118.14","23,882.72","25,166.31","22,814.41","","4.00%"
"01-02-2022","24,153.01","25,234.89","25,526.55","23,367.85","","-2.98%"
"01-01-2022","24,894.62","25,298.63","26,278.07","24,553.04","","-0.06%"
"01-12-2021","24,908.71","24,632.06","25,134.23","23,839.01","","2.22%"
"01-11-2021","24,368.53","25,710.80","25,977.61","24,368.53","","-3.84%"
"01-10-2021","25,340.83","25,111.25","26,467.21","25,111.25","","0.42%"
"01-09-2021","25,234.57","24,445.62","25,573.99","24,445.62","","2.89%"
