Date,Price,Open,High,Low,Vol.,Change %
01-06-2026,"36,145.88",,,,,1.67%
01-05-2026,"35,552.64",,,,,-1.72%
01-04-2026,"36,174.80",,,,,7.49%
01-03-2026,"33,655.43",,,,,-11.30%
01-02-2026,"37,943.67",,,,,-0.51%
01-01-2026,"38,138.83",,,,,-3.04%
01-12-2025,"39,333.55",,,,,-0.28%
01-11-2025,"39,443.91",,,,,1.92%
01-10-2025,"38,700.60",,,,,4.62%
01-09-2025,"36,992.70",,,,,0.77%
01-08-2025,"36,709.00",,,,,-1.21%
01-07-2025,"37,158.88",,,,,-2.77%
01-06-2025,"38,217.32",,,,,3.37%
01-05-2025,"36,972.50",,,,,1.92%
01-04-2025,"36,274.87",,,,,3.48%
01-03-2025,"35,054.08",,,,,6.31%
01-02-2025,"32,973.36",,,,,-5.79%
01-01-2025,"34,998.01",,,,,-0.45%
01-12-2024,"35,155.77",,,,,-2.02%
01-11-2024,"35,878.82",,,,,-0.26%
01-10-2024,"35,971.14",,,,,-6.12%
01-09-2024,"38,315.21",,,,,2.28%
01-08-2024,"37,461.73",,,,,1.36%
01-07-2024,"36,959.48",,,,,4.00%
01-06-2024,"35,539.16",,,,,6.77%
01-05-2024,"33,285.90",,,,,0.03%
01-04-2024,"33,276.41",,,,,1.24%
01-03-2024,"32,867.23",,,,,1.57%
01-02-2024,"32,360.25",,,,,1.32%
01-01-2024,"31,939.59",,,,,0.02%
01-12-2023,"31,933.93",,,,,7.94%
01-11-2023,"29,585.36",,,,,5.60%
01-10-2023,"28,017.36",,,,,-2.74%
01-09-2023,"28,807.77",,,,,2.00%
01-08-2023,"28,243.74",,,,,-2.31%
01-07-2023,"28,910.43",,,,,3.03%
01-06-2023,"28,059.65",,,,,3.70%
01-05-2023,"27,057.44",,,,,2.87%
01-04-2023,"26,302.92",,,,,4.10%
01-03-2023,"25,266.06",,,,,0.32%
01-02-2023,"25,184.47",,,,,-1.95%
01-01-2023,"25,685.94",,,,,-2.43%
01-12-2022,"26,326.37",,,,,-3.48%
01-11-2022,"27,276.01",,,,,4.18%
01-10-2022,"26,182.36",,,,,5.48%
01-09-2022,"24,821.08",,,,,-3.74%
01-08-2022,"25,786.59",,,,,3.72%
01-07-2022,"24,862.70",,,,,8.91%
01-06-2022,"22,828.93",,,,,-4.71%
01-05-2022,"23,958.10",,,,,-2.64%
01-04-2022,"24,606.78",,,,,-2.04%
01-03-2022,"25,118.14",,,,,4.00%
01-02-2022,"24,153.01",,,,,-2.98%
01-01-2022,"24,894.62",,,,,-0.06%
01-12-2021,"24,908.71",,,,,2.22%
01-11-2021,"24,368.53",,,,,-3.84%
01-10-2021,"25,340.83",,,,,0.42%
01-09-2021,"25,234.57",,,,,2.89%
01-08-2021,"24,525.71",,,,,8.74%
01-07-2021,"22,554.26",,,,,0.44%
01-06-2021,"22,455.70",,,,,1.14%
01-05-2021,"22,203.59",,,,,6.69%
01-04-2021,"20,811.13",,,,,-0.36%
01-03-2021,"20,886.52",,,,,1.17%
01-02-2021,"20,644.88",,,,,6.71%
01-01-2021,"19,346.03",,,,,-2.46%
01-12-2020,"19,833.19",,,,,7.83%
01-11-2020,"18,392.54",,,,,11.44%
01-10-2020,"16,504.16",,,,,3.69%
01-09-2020,"15,916.72",,,,,-1.20%
01-08-2020,"16,110.07",,,,,2.97%
01-07-2020,"15,645.34",,,,,7.70%
01-06-2020,"14,527.18",,,,,7.58%
01-05-2020,"13,503.45",,,,,-2.74%
01-04-2020,"13,884.18",,,,,14.69%
01-03-2020,"12,105.66",,,,,-23.03%
01-02-2020,"15,726.92",,,,,-6.33%
01-01-2020,"16,790.45",,,,,-1.68%
01-12-2019,"17,077.06",,,,,0.94%
01-11-2019,"16,917.89",,,,,1.50%
01-10-2019,"16,667.29",,,,,3.70%
01-09-2019,"16,072.50",,,,,4.09%
01-08-2019,"15,440.47",,,,,-0.64%
01-07-2019,"15,539.43",,,,,-5.44%
01-06-2019,"16,433.85",,,,,-0.90%
01-05-2019,"16,583.46",,,,,1.62%
01-04-2019,"16,318.66",,,,,1.07%
01-03-2019,"16,146.11",,,,,7.79%
01-02-2019,"14,979.39",,,,,-0.22%
01-01-2019,"15,012.34",,,,,-0.24%
01-12-2018,"15,048.98",,,,,-0.07%
01-11-2018,"15,059.37",,,,,4.74%
01-10-2018,"14,377.38",,,,,-4.87%
01-09-2018,"15,114.08",,,,,-6.38%
01-08-2018,"16,143.51",,,,,3.01%
01-07-2018,"15,672.47",,,,,6.23%
01-06-2018,"14,753.91",,,,,0.02%
01-05-2018,"14,750.26",,,,,0.18%
01-04-2018,"14,723.32",,,,,6.19%
01-03-2018,"13,865.57",,,,,-3.43%
01-02-2018,"14,358.71",,,,,-4.69%
01-01-2018,"15,065.82",,,,,4.76%
01-12-2017,"14,381.92",,,,,2.97%
01-11-2017,"13,966.58",,,,,-1.01%
01-10-2017,"14,108.55",,,,,5.67%
01-09-2017,"13,351.99",,,,,-1.25%
01-08-2017,"13,521.03",,,,,-1.48%
01-07-2017,"13,724.19",,,,,6.12%
01-06-2017,"12,932.33",,,,,-0.66%
01-05-2017,"13,018.69",,,,,3.46%
01-04-2017,"12,582.88",,,,,1.42%
01-03-2017,"12,406.69",,,,,3.47%
01-02-2017,"11,990.44",,,,,3.83%
01-01-2017,"11,548.15",,,,,4.60%
01-12-2016,"11,040.41",,,,,-0.47%
01-11-2016,"11,092.59",,,,,-4.61%
01-10-2016,"11,628.32",,,,,0.26%
01-09-2016,"11,598.22",,,,,-1.93%
01-08-2016,"11,826.19",,,,,1.82%
01-07-2016,"11,614.80",,,,,4.44%
01-06-2016,"11,121.39",,,,,1.96%
01-05-2016,"10,908.07",,,,,4.14%
01-04-2016,"10,474.15",,,,,1.44%
01-03-2016,"10,325.50",,,,,10.98%
01-02-2016,"9,304.26",,,,,-7.59%
01-01-2016,"10,068.86",,,,,-4.79%
01-12-2015,"10,575.63",,,,,0.14%
01-11-2015,"10,560.84",,,,,-1.60%
01-10-2015,"10,732.25",,,,,1.57%
01-09-2015,"10,566.29",,,,,-0.21%
01-08-2015,"10,588.80",,,,,-6.53%
01-07-2015,"11,328.56",,,,,2.19%
01-06-2015,"11,085.87",,,,,-0.45%
01-05-2015,"11,135.85",,,,,3.16%
01-04-2015,"10,794.27",,,,,-3.64%
01-03-2015,"11,201.99",,,,,-4.45%
01-02-2015,"11,723.28",,,,,1.07%
01-01-2015,"11,598.64",,,,,6.37%
01-12-2014,"10,904.18",,,,,-3.53%
01-11-2014,"11,303.65",,,,,3.21%
01-10-2014,"10,952.14",,,,,4.55%
01-09-2014,"10,475.04",,,,,0.17%
01-08-2014,"10,456.85",,,,,3.12%
01-07-2014,"10,140.34",,,,,1.75%
01-06-2014,"9,966.14",,,,,5.60%
01-05-2014,"9,437.81",,,,,8.11%
01-04-2014,"8,730.05",,,,,-0.11%
01-03-2014,"8,739.91",,,,,6.87%
01-02-2014,"8,178.01",,,,,3.12%
01-01-2014,"7,930.34",,,,,-3.35%
01-12-2013,"8,204.85",,,,,2.11%
01-11-2013,"8,035.27",,,,,-1.94%
01-10-2013,"8,194.06",,,,,9.92%
01-09-2013,"7,454.82",,,,,4.94%
01-08-2013,"7,103.56",,,,,-4.64%
01-07-2013,"7,449.52",,,,,-1.50%
01-06-2013,"7,563.28",,,,,-2.21%
01-05-2013,"7,734.03",,,,,1.31%
01-04-2013,"7,634.29",,,,,4.36%
01-03-2013,"7,315.35",,,,,-0.10%
01-02-2013,"7,322.68",,,,,-5.63%
01-01-2013,"7,759.87",,,,,2.21%
01-12-2012,"7,591.99",,,,,0.47%
01-11-2012,"7,556.73",,,,,4.70%
01-10-2012,"7,217.67",,,,,-1.42%
01-09-2012,"7,321.57",,,,,8.51%
01-08-2012,"6,747.30",,,,,0.69%
01-07-2012,"6,700.96",,,,,-0.77%
01-06-2012,"6,752.88",,,,,7.61%
01-05-2012,"6,275.40",,,,,-5.89%
01-04-2012,"6,668.40",,,,,-0.89%
01-03-2012,"6,728.46",,,,,-1.61%
01-02-2012,"6,838.32",,,,,3.60%
01-01-2012,"6,600.95",,,,,12.54%
01-12-2011,"5,865.49",,,,,-4.30%
01-11-2011,"6,128.97",,,,,-9.27%
01-10-2011,"6,755.07",,,,,7.82%
01-09-2011,"6,265.26",,,,,-1.09%
01-08-2011,"6,334.48",,,,,-8.65%
01-07-2011,"6,934.57",,,,,-2.79%
01-06-2011,"7,133.60",,,,,1.95%
01-05-2011,"6,997.07",,,,,-3.15%
01-04-2011,"7,224.51",,,,,-1.41%
01-03-2011,"7,327.83",,,,,9.43%
01-02-2011,"6,696.09",,,,,-3.11%
01-01-2011,"6,910.76",,,,,-10.23%
01-12-2010,"7,698.29",,,,,4.69%
01-11-2010,"7,353.36",,,,,-2.56%
01-10-2010,"7,546.40",,,,,-0.11%
01-09-2010,"7,554.94",,,,,11.71%
01-08-2010,"6,762.76",,,,,0.75%
01-07-2010,"6,712.14",,,,,1.13%
01-06-2010,"6,636.89",,,,,4.84%
01-05-2010,"6,330.54",,,,,-3.50%
01-04-2010,"6,559.98",,,,,0.59%
01-03-2010,"6,521.55",,,,,6.66%
01-02-2010,"6,114.26",,,,,0.87%
01-01-2010,"6,061.68",,,,,-6.12%
01-12-2009,"6,456.97",,,,,3.39%
01-11-2009,"6,245.49",,,,,6.83%
01-10-2009,"5,846.03",,,,,-7.24%
01-09-2009,"6,302.19",,,,,9.13%
01-08-2009,"5,774.96",,,,,0.66%
01-07-2009,"5,737.09",,,,,8.32%
01-06-2009,"5,296.58",,,,,-3.35%
01-05-2009,"5,480.11",,,,,28.08%
01-04-2009,"4,278.54",,,,,15.00%
01-03-2009,"3,720.51",,,,,9.32%
01-02-2009,"3,403.33",,,,,-3.82%
01-01-2009,"3,538.57",,,,,-2.68%
01-12-2008,"3,635.87",,,,,7.59%
01-11-2008,"3,379.53",,,,,-4.52%
01-10-2008,"3,539.57",,,,,-26.37%
01-09-2008,"4,807.20",,,,,-9.93%
01-08-2008,"5,337.28",,,,,0.75%
01-07-2008,"5,297.47",,,,,7.45%
01-06-2008,"4,929.98",,,,,-16.97%
01-05-2008,"5,937.81",,,,,-5.59%
01-04-2008,"6,289.07",,,,,9.13%
01-03-2008,"5,762.88",,,,,-9.34%
01-02-2008,"6,356.92",,,,,1.78%
01-01-2008,"6,245.45",,,,,-16.30%
01-12-2007,"7,461.48",,,,,6.63%
01-11-2007,"6,997.60",,,,,-2.31%
01-10-2007,"7,163.30",,,,,17.54%
01-09-2007,"6,094.11",,,,,12.62%
01-08-2007,"5,411.29",,,,,-1.31%
01-07-2007,"5,483.25",,,,,4.97%
01-06-2007,"5,223.82",,,,,0.73%
01-05-2007,"5,185.95",,,,,5.10%
01-04-2007,"4,934.46",,,,,7.13%
01-03-2007,"4,605.89",,,,,2.25%
01-02-2007,"4,504.73",,,,,-8.06%
01-01-2007,"4,899.39",,,,,2.96%
01-12-2006,"4,758.45",,,,,0.62%
01-11-2006,"4,729.13",,,,,5.64%
01-10-2006,"4,476.50",,,,,4.37%
01-09-2006,"4,288.97",,,,,5.29%
01-08-2006,"4,073.55",,,,,8.76%
01-07-2006,"3,745.46",,,,,0.64%
01-06-2006,"3,721.71",,,,,2.18%
01-05-2006,"3,642.31",,,,,-13.56%
01-04-2006,"4,213.88",,,,,4.59%
01-03-2006,"4,028.82",,,,,10.70%
01-02-2006,"3,639.43",,,,,2.52%
01-01-2006,"3,549.92",,,,,5.86%
01-12-2005,"3,353.37",,,,,7.21%
01-11-2005,"3,127.80",,,,,11.87%
01-10-2005,"2,795.89",,,,,-8.81%
01-09-2005,"3,066.15",,,,,9.43%
01-08-2005,"2,801.99",,,,,3.35%
01-07-2005,"2,711.24",,,,,4.28%
01-06-2005,"2,599.93",,,,,6.83%
01-05-2005,"2,433.73",,,,,9.88%
01-04-2005,"2,214.96",,,,,-6.53%
01-03-2005,"2,369.69",,,,,-3.20%
01-02-2005,"2,447.94",,,,,2.26%
01-01-2005,"2,393.76",,,,,-1.04%
01-12-2004,"2,418.88",,,,,6.61%
01-11-2004,"2,268.99",,,,,9.65%
01-10-2004,"2,069.39",,,,,2.41%
01-09-2004,"2,020.62",,,,,7.36%
01-08-2004,"1,882.09",,,,,0.18%
01-07-2004,"1,878.62",,,,,8.72%
01-06-2004,"1,727.93",,,,,1.75%
01-05-2004,"1,698.16",,,,,-17.09%
01-04-2004,"2,048.22",,,,,1.38%
01-03-2004,"2,020.25",,,,,-1.57%
01-02-2004,"2,052.40",,,,,-0.49%
01-01-2004,"2,062.42",,,,,-3.62%
01-12-2003,"2,139.93",,,,,16.43%
01-11-2003,"1,837.98",,,,,3.84%
01-10-2003,"1,770.08",,,,,9.93%
01-09-2003,"1,610.21",,,,,4.69%
01-08-2003,"1,538.08",,,,,14.97%
01-07-2003,"1,337.86",,,,,5.16%
01-06-2003,"1,272.21",,,,,13.36%
01-05-2003,"1,122.32",,,,,8.12%
01-04-2003,"1,038.00",,,,,-4.30%
01-03-2003,"1,084.64",,,,,-7.98%
01-02-2003,"1,178.72",,,,,2.08%
01-01-2003,"1,154.67",,,,,-4.70%
01-12-2002,"1,211.66",,,,,4.19%
01-11-2002,"1,162.91",,,,,10.39%
01-10-2002,"1,053.44",,,,,-0.99%
01-09-2002,"1,063.92",,,,,-4.58%
01-08-2002,"1,115.02",,,,,5.75%
01-07-2002,"1,054.41",,,,,-8.78%
01-06-2002,"1,155.88",,,,,2.94%
01-05-2002,"1,122.86",,,,,-4.99%
01-04-2002,"1,181.82",,,,,-3.83%
01-03-2002,"1,228.95",,,,,-1.09%
01-02-2002,"1,242.55",,,,,6.37%
01-01-2002,"1,168.10",,,,,
