"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2026","20,528.05","22,547.00","22,992.35","20,490.45","56.16B","-11.39%"
"01-02-2026","23,166.85","23,067.50","23,912.35","22,337.30","52.13B","0.38%"
"01-01-2026","23,079.50","23,914.65","24,144.20","22,562.95","62.93B","-3.32%"
"01-12-2025","23,871.55","24,034.95","24,035.00","23,259.70","57.24B","-0.26%"
"01-11-2025","23,933.20","23,711.95","24,032.10","23,291.20","47.92B","0.94%"
"01-10-2025","23,710.40","22,745.95","23,971.55","22,726.25","57.78B","4.29%"
"01-09-2025","22,734.10","22,491.90","23,541.30","22,491.90","59.51B","1.21%"
"01-08-2025","22,462.95","22,901.60","23,230.95","22,406.00","44.58B","-1.97%"
"01-07-2025","22,914.95","23,659.75","23,669.95","22,777.70","52.73B","-2.97%"
"01-06-2025","23,617.20","22,758.60","23,677.55","22,631.70","61.94B","3.58%"
"01-05-2025","22,801.95","22,009.95","22,970.70","21,463.75","58.41B","3.50%"
"01-04-2025","22,030.05","21,227.10","22,271.85","19,519.85","50.11B","3.24%"
"01-03-2025","21,339.55","19,935.55","21,674.05","19,658.30","45.50B","7.34%"
"01-02-2025","19,880.90","21,628.65","21,870.90","19,816.00","39.90B","-7.88%"
"01-01-2025","21,580.90","22,375.85","22,867.85","20,757.90","50.44B","-3.55%"
"01-12-2024","22,375.40","22,695.40","23,417.65","22,160.15","42.37B","-1.37%"
"01-11-2024","22,687.00","22,806.95","23,073.55","21,692.80","43.20B","-0.01%"
"01-10-2024","22,689.35","24,248.50","24,329.45","22,362.80","50.39B","-6.42%"
"01-09-2024","24,245.20","23,835.20","24,573.40","23,294.45","56.88B","2.15%"
"01-08-2024","23,734.55","23,608.85","23,766.40","22,397.70","57.16B","0.87%"
"01-07-2024","23,530.80","22,580.40","23,556.00","22,307.20","74.02B","4.30%"
"01-06-2024","22,559.70","21,926.60","22,673.65","19,624.25","80.91B","6.90%"
"01-05-2024","21,103.30","21,010.45","21,613.60","20,184.10","68.67B","0.51%"
"01-04-2024","20,997.20","20,392.25","21,146.50","20,038.35","68.47B","3.66%"
"01-03-2024","20,255.15","20,171.90","20,483.25","19,465.85","50.38B","0.82%"
"01-02-2024","20,090.05","19,869.95","20,365.65","19,508.75","83.96B","1.45%"
"01-01-2024","19,802.10","19,452.00","19,923.30","19,080.50","82.89B","1.92%"
"01-12-2023","19,429.15","18,061.80","19,450.10","18,053.15","62.72B","8.01%"
"01-11-2023","17,987.95","16,808.50","18,007.10","16,719.10","46.56B","7.06%"
"01-10-2023","16,801.10","17,294.50","17,494.50","16,466.25","46.05B","-2.84%"
"01-09-2023","17,292.60","16,940.20","17,754.05","16,931.50","65.33B","2.18%"
"01-08-2023","16,924.30","17,096.60","17,102.10","16,661.00","51.57B","-0.79%"
"01-07-2023","17,059.00","16,490.95","17,072.80","16,485.30","46.85B","3.83%"
