Month,size_p90
2000-10,8232.610880000006
2000-11,8993.44498
2000-12,9794.518900000012
2001-01,10469.801600000003
2001-02,9278.95415
2001-03,6978.6045
2001-04,6988.315900000012
2001-05,7618.5143499999995
2001-06,6428.952760000003
2001-07,6053.852780000006
2001-08,6173.2306
2001-09,5288.357920000001
2001-10,7871.642400000003
2001-11,8841.269740000003
2001-12,9013.52483
2002-01,9375.010940000002
2002-02,10649.108760000003
2002-03,10504.966110000007
2002-04,11526.79273000001
2002-05,11408.852540000005
2002-06,11768.257000000001
2002-07,10648.78403
2002-08,10663.671230000013
2002-09,10263.424940000003
2002-10,10382.71975
2002-11,10724.275820000004
2002-12,11597.157079999999
2003-01,11324.199830000009
2003-02,11657.332900000009
2003-03,10979.862710000012
2003-04,12389.098160000049
2003-05,13802.319830000037
2003-06,14221.56631999998
2003-07,15846.586700000007
2003-08,18313.49875
2003-09,18760.33103
2003-10,18317.60411
2003-11,20162.811720000005
2003-12,24046.24378000002
2004-01,22906.19254
2004-02,23143.851379999996
2004-03,23953.179779999995
2004-04,24565.399400000002
2004-05,20235.439549999974
2004-06,19801.801920000016
2004-07,21051.12752999999
2004-08,20780.847459999997
2004-09,23661.48455
2004-10,15001.857499999998
2004-11,17429.443800000005
2004-12,18988.346520000003
2005-01,18472.448880000007
2005-02,19414.70188000001
2005-03,19818.64634
2005-04,20351.926239999993
2005-05,21758.381579999994
2005-06,21464.994000000002
2005-07,22796.35205
2005-08,25792.101800000037
2005-09,27803.832060000008
2005-10,16231.35
2005-11,17975.76301000001
2005-12,19249.0543
2006-01,20803.50516
2006-02,21746.0216
2006-03,24106.838460000014
2006-04,26504.96989999999
2006-05,23378.169160000023
2006-06,19545.0094
2006-07,19901.023630000007
2006-08,21894.702
2006-09,24247.57365
2006-10,25456.6903
2006-11,25718.742199999997
2006-12,26289.40354000001
2007-01,27286.41722000004
2007-02,25697.315300000027
2007-03,25511.7624
2007-04,26036.210020000028
2007-05,29126.2608
2007-06,31569.9507
2007-07,33577.970919999985
2007-08,32824.4891
2007-09,36545.84055
2007-10,37840.15228999999
2007-11,39802.75540000003
2007-12,46881.14082000001
2008-01,37268.605350000005
2008-02,36283.74345000007
2008-03,31841.64869000001
2008-04,34246.234549999994
2008-05,32465.359520000013
2008-06,26431.741140000006
2008-07,26636.01324000001
2008-08,27609.4607
2008-09,23555.95616000002
2008-10,15245.206420000006
2008-11,13687.332800000006
2008-12,15486.209390000004
2009-01,14625.75586
2009-02,13490.80328
2009-03,14312.6675
2009-04,16844.097250000017
2009-05,25378.939000000002
2009-06,24960.724659999996
2009-07,28045.327939999992
2009-08,29709.14564000003
2009-09,31187.42770000003
2009-10,37088.33087999998
2009-11,39109.40358000001
2009-12,41272.92978000003
2010-01,43114.40114000005
2010-02,42784.20930000004
2010-03,45119.29439
2010-04,48107.35284000002
2010-05,44740.317540000004
2010-06,45645.90984000001
2010-07,49051.40492999998
2010-08,48785.50772000006
2010-09,54245.20767999998
2010-10,42973.51734
2010-11,40567.463480000006
2010-12,40782.69674000003
2011-01,37066.20262999998
2011-02,34723.34654000002
2011-03,37179.69225
2011-04,38707.85991999999
2011-05,37732.848679999996
2011-06,37516.4
2011-07,37655.11022
2011-08,34455.75905
2011-09,34981.5408
2011-10,34487.582630000004
2011-11,30324.031479999998
2011-12,27258.460160000035
2012-01,31826.64898000001
2012-02,34624.35395999999
2012-03,33747.062
2012-04,33864.523740000026
2012-05,31887.14208000001
2012-06,33304.8015
2012-07,32927.49350000001
2012-08,32868.254700000056
2012-09,36719.38972000004
2012-10,40555.36392
2012-11,42694.5844
2012-12,44511.6
2013-01,43374.94984000004
2013-02,39541.76028999999
2013-03,39755.17295
2013-04,40211.13
2013-05,40636.42191000001
2013-06,39358.15245
2013-07,35445.92729000004
2013-08,34773.005940000075
2013-09,34525.46186000002
2013-10,58035.282520000044
2013-11,58718.17592000004
2013-12,63435.86312000003
2014-01,57766.93241
2014-02,62390.84420000002
2014-03,67363.54499000001
2014-04,70128.86235000004
2014-05,79948.98025000075
2014-06,88460.63496000004
2014-07,87174.37372000012
2014-08,85958.03826000023
2014-09,88574.9915
2014-10,82992.99861000002
2014-11,85927.89442000007
2014-12,85535.16263999997
2015-01,88723.05520000002
2015-02,90953.74656000004
2015-03,93312.01768
2015-04,89706.89742
2015-05,91504.35000000017
2015-06,89844.37312000002
2015-07,91456.62105999999
2015-08,87173.68834000002
2015-09,90589.9337
2015-10,72979.8489
2015-11,75854.48972000001
2015-12,79366.53144000012
2016-01,75894.60637000001
2016-02,65791.8035
2016-03,71433.67562000004
2016-04,75625.51134000001
2016-05,75381.72392000012
2016-06,79085.07452000004
2016-07,83148.29166000003
2016-08,85758.59074999999
2016-09,86438.20241999999
2016-10,94075.02225000001
2016-11,85386.01768
2016-12,84633.57085
2017-01,92023.84042
2017-02,96334.95669999998
2017-03,98609.92576000004
2017-04,103824.77955000002
2017-05,101492.42858000002
2017-06,101912.52214000013
2017-07,107037.41536
2017-08,105077.47776
2017-09,106202.81600000008
2017-10,114785.63804000008
2017-11,116848.48316000005
2017-12,125453.00534000002
2018-01,124264.78285
2018-02,121187.39600000001
2018-03,115857.57585
2018-04,120420.42534999992
2018-05,117178.63870000001
2018-06,108230.84092000013
2018-07,115564.3057
2018-08,122777.47392
2018-09,104053.91972000043
2018-10,99021.49380000007
2018-11,100472.99760000005
2018-12,100271.79721999998
2019-01,95071.54313000002
2019-02,95879.46305000021
2019-03,105484.48040000001
2019-04,104396.70239999998
2019-05,106592.4463
2019-06,105895.2094
2019-07,95258.43936000013
2019-08,96444.41381999994
2019-09,95997.86212000002
2019-10,110413.2168
2019-11,120093.21324000001
2019-12,125406.8593000002
2020-01,128812.9861600001
2020-02,116416.94284000002
2020-03,83301.07580000004
2020-04,95002.85832
2020-05,91313.34575000001
2020-06,104353.15036000004
2020-07,111425.23545000012
2020-08,121023.96408000002
2020-09,117232.92848999998
2020-10,133644.99747000006
2020-11,148356.53042999998
2020-12,155192.99910000016
2021-01,156505.53294000006
2021-02,174524.8163
2021-03,181075.69230000008
2021-04,175860.0808
2021-05,190311.1398100002
2021-06,205714.16074000005
2021-07,209606.2016600001
2021-08,207568.06350000002
2021-09,228541.2453
2021-10,184981.6036400001
2021-11,184266.73714000004
2021-12,191888.68176000004
2022-01,195334.66223
2022-02,177537.42440000002
2022-03,188034.02206000005
2022-04,185425.2292400001
2022-05,175373.09612000003
2022-06,161892.00653999983
2022-07,186074.0856
2022-08,187124.87396000014
2022-09,185747.5842
2022-10,142904.77104000055
2022-11,150823.71340000007
2022-12,144010.68236000024
2023-01,147184.25859000007
2023-02,146399.97977999997
2023-03,139603.52016000016
2023-04,150986.73375
2023-05,161226.4498300001
2023-06,169053.87460000013
2023-07,183011.42347000004
2023-08,182915.2485600003
2023-09,188342.6661
2023-10,161733.30234000002
2023-11,183562.5484799999
2023-12,194890.47709000012
2024-01,205646.54418000003
2024-02,204062.15325
2024-03,189969.63589999985
2024-04,203618.67409999977
2024-05,210852.24852
2024-06,231375.76792000057
2024-07,247884.4240600004
2024-08,255238.1721
2024-09,255437.83573999998
2024-10,203178.5870999999
2024-11,199765.05228000003
2024-12,208335.7887
2025-01,187606.0963600003
2025-02,158540.6340100001
2025-03,179041.71748000005
2025-04,175658.01253
2025-05,192137.33921800007
2025-06,201071.46373800005
2025-07,195427.73513759996
2025-08,193458.6818560001
2025-09,189978.8835044001
2025-10,192685.9701813
2025-11,181620.16893080014
2025-12,184136.97411
2026-01,174746.63961799996
2026-02,177032.29980200002
2026-03,157367.59797900004
