PY,size_p10_cutoff_sep,size_p90_cutoff_sep
2001,38.7125,5133.440320000007
2002,133.1137,10251.34315
2003,155.38609,18658.951519999988
2004,193.08148000000003,22750.333340000016
2005,313.5703,26131.4392
2006,93.70219999999999,22991.938530000014
2007,144.18657,35077.14461000002
2008,100.03943000000001,22747.05438
2009,114.84716,30622.516880000006
2010,273.54789999999997,53631.725189999976
2011,126.4262,34489.0098
2012,118.71192000000002,35990.792680000006
2013,103.37756,34088.16
2014,343.05876000000006,87553.67540999998
2015,267.55752000000007,88919.71616
2016,236.63656000000006,81355.35464000009
2017,332.9269,101217.8947
2018,249.16978000000003,98015.55829999999
2019,155.0876,90512.1789
2020,191.52938,113156.17165999998
2021,518.62786,222269.44558000003
2022,421.9745,177093.16086000003
2023,350.3989,179863.45175
2024,490.79159000000004,239727.04385000007
2025,426.75088800000003,181291.6158899999
