Month,BG,BN,BV,SG,SN,SV,n_BG,n_BN,n_BV,n_SG,n_SN,n_SV,SMB,HML
2001-10,0.05622457934107735,0.058894264879172306,0.08321352810386144,0.07701041184274973,0.10771377939041424,0.06782595343483806,58.0,22.0,5.0,121.0,218.0,184.0,0.01807259078129698,0.008902245177436211
2001-11,0.12319805917518056,0.08024298005215794,0.07930729085358357,0.17714627491632823,0.20591392089824678,0.16213499513932023,58.0,22.0,5.0,120.0,218.0,184.0,0.08748228695765774,-0.0294510240493025
2001-12,0.016156513695794083,-0.0534336874821658,-0.045648335195858085,0.030666800433652774,-0.004934291079790511,-0.036805509816136624,58.0,22.0,5.0,120.0,217.0,184.0,0.023950836173318477,-0.06463857957072078
2002-01,0.014784753074125422,0.07483737611210213,0.032391986170050374,0.017205142290398073,0.044362572413776745,0.018595348695689753,58.0,22.0,5.0,120.0,217.0,182.0,-0.013950350652137783,0.009498719750608316
2002-02,0.049480182214802104,0.2667502948072822,0.28084415611960134,0.013263005409528654,0.08206124540377802,0.06312724656628374,58.0,22.0,5.0,118.0,216.0,181.0,-0.1462077119206984,0.14061410753077716
2002-03,-0.003688139752931767,0.07803925833569757,0.07720167184715412,0.09058702111217806,0.09815779191229859,0.06109742358180714,57.0,22.0,5.0,117.0,214.0,164.0,0.032763148725454626,0.025700107034857485
2002-04,-0.043285271903289256,0.10635587368110723,0.08343072429931174,0.125141212016835,0.1250997746342398,0.11981743449511495,57.0,22.0,5.0,117.0,214.0,164.0,0.07451903168968667,0.060696109340440466
2002-05,-0.059758245170983444,-0.05350025927354966,0.14142631605487918,-0.05878100785200645,-0.057835230338318826,-0.005180228864543628,57.0,22.0,5.0,116.0,212.0,164.0,-0.049988092888405,0.12739267010666272
2002-06,0.015715057876268274,0.047873887910393986,0.11874513619796977,0.04178187129011347,0.15521396539782265,0.2569946801264515,57.0,21.0,4.0,113.0,205.0,160.0,0.06670344545063693,0.21521280883633803
2002-07,-0.08644249633633361,-0.00875086897723559,-0.12071400522334091,-0.1177425751048197,-0.14238253896434833,-0.1444000864972069,57.0,21.0,4.0,113.0,205.0,159.0,-0.08246587437779941,-0.0266575113923872
2002-08,0.0664010003449211,0.04947202312196634,0.009310979779064591,0.039958954552383366,0.02171324615276647,0.004505991325846312,57.0,21.0,4.0,111.0,205.0,158.0,-0.027100411380868796,-0.03545296322653706
2002-09,-0.039913895428102655,-0.09103361841169591,-0.08590768653600063,-0.03587475421767594,-0.057172487163809856,-0.04284118484291149,57.0,21.0,4.0,110.0,204.0,157.0,0.018950136229156384,-0.0069664306252355465
2002-10,0.002315805264830401,-0.00915038783081948,0.00821333056170934,-0.04088083164360952,-0.013659480724506894,-0.021975277773166064,42.0,20.0,2.0,133.0,211.0,156.0,-0.023852864901063666,0.018905553870443455
2002-11,0.07092937475066426,0.06091165788994657,0.2137735731838546,0.06066594725919017,0.08525854839807312,0.08648502853644172,42.0,19.0,2.0,129.0,199.0,144.0,0.007041731508326231,0.02581908127725155
2002-12,0.039322775165922426,0.05650465224030149,0.2604120746534166,0.050112178650114456,0.050748997308280405,0.02229560461700785,42.0,19.0,2.0,129.0,199.0,144.0,0.0025168742760854727,-0.027816574033106604
2003-01,-0.03338623787829618,-0.0030654041510651577,-0.044314243046697156,-0.05743184113607697,-0.027286824868129982,-0.05527554050927223,41.0,19.0,2.0,128.0,199.0,144.0,-0.02413351198742281,0.002156300626804747
2003-02,0.01642659820323536,0.03641014942654569,0.021815614847075015,0.004075307939059858,0.027475383393996636,-0.0054969881859815665,41.0,19.0,2.0,128.0,199.0,143.0,-0.010643028148362278,-0.009572296125041424
2003-03,-0.08695479152448037,-0.05053267663445258,0.01559271855238122,-0.11650832141358518,-0.08425915366884028,-0.13806885186302273,41.0,19.0,2.0,128.0,198.0,142.0,-0.03164000346174625,-0.02156053044943755
2003-04,-0.04531004018710024,0.012825942282738765,0.004850833923987356,0.03978998376185352,0.08270339620451747,0.10848376977039084,41.0,19.0,2.0,126.0,196.0,141.0,0.07748873893536623,0.06869378600853732
2003-05,0.10647938519454045,0.19401413718547122,0.5841136841597494,0.14901850142382192,0.22702217030934038,0.2760244596285236,41.0,19.0,2.0,116.0,193.0,138.0,0.037773574676575314,0.1270059582047017
2003-06,0.1020830340977949,0.11197383196021524,-0.05105918318244391,0.11798017152728756,0.13190183390274313,0.15754429499783473,40.0,19.0,2.0,113.0,192.0,137.0,0.017912569686010273,0.03956412347054718
2003-07,0.016127915229556616,0.08743049448140541,0.268487248399427,0.10332476263992887,0.08022804086193565,0.07811424271529283,40.0,19.0,2.0,112.0,191.0,136.0,0.03999719689545125,-0.02521051992463605
2003-08,0.16902168516696364,0.17482022282726048,-0.01774951968988175,0.10206106134679667,0.12833954657559932,0.11885390600419693,40.0,19.0,2.0,113.0,191.0,136.0,-0.05672065003591407,0.01679284465740026
2003-09,0.03339119616453592,0.07161326569096516,0.08272763321118837,0.06761994063610735,0.047165416530913655,0.06116433263448745,40.0,19.0,2.0,113.0,191.0,136.0,0.004890447655759966,-0.0064556080016199
2003-10,0.06753703730437004,0.06376825490014416,0.13508356069091418,0.058097811148742115,0.08943288206014299,0.037783000582687395,42.0,18.0,2.0,142.0,205.0,143.0,0.008112700502185453,-0.02031481056605472
2003-11,0.03351717883922919,0.048592210921237645,0.04176654864429474,0.11021610590853947,0.13609163128914134,0.22208189968454495,42.0,18.0,2.0,142.0,205.0,143.0,0.08209917371860699,0.11186579377600547
2003-12,0.18046640277757395,0.19690848014468104,0.11910196073401515,0.2248603015913721,0.23425467932658314,0.258782580524314,42.0,18.0,2.0,141.0,205.0,143.0,0.04087004899785013,0.03392227893294192
2004-01,-0.032895727976513175,-0.03533024934017122,0.09683147381131886,-0.08515755867717723,-0.09058417728852466,-0.1449922620478208,42.0,18.0,2.0,141.0,204.0,143.0,-0.05375787932450875,-0.05983470337064359
2004-02,-0.0033293448379533965,-0.012696199554953179,0.053383673087318416,-0.011302104455434609,-0.040616487467031566,-0.07866763136581804,42.0,18.0,2.0,141.0,204.0,143.0,-0.0179465237647798,-0.06736552691038343
2004-03,0.011720141514150162,0.044154552724203426,-0.0062275264202738215,-0.03850261730170091,-0.01026424382973736,0.017103276212601437,42.0,18.0,2.0,141.0,204.0,143.0,-0.05232077768489593,0.05560589351430235
2004-04,0.016709753956446905,0.040290844136289035,-0.11009927246169592,0.06807948560869582,0.08545810783699193,0.1108543952742404,42.0,18.0,2.0,141.0,203.0,143.0,0.04826849767647591,0.04277490966554458
2004-05,-0.157061365864634,-0.28482840439311585,-0.24061468994407245,-0.13064252931444392,-0.1557548562164162,-0.15280820985975596,42.0,18.0,2.0,138.0,203.0,143.0,0.07774619236344488,-0.02216568054531204
