co_code,Month,monthly_return,eom_mcap,prev_mktcap,Size_Label_Yearly,Size_Label_Monthly,MOM_Label,BM_Label,OP_Label,INV_Label,AT_Label,SG_Label,ACC_Label,VOL_Label,STR_Label,Size_Label_OP,Size_Label_INV,Size_Label_AT,Size_Label_SG,Size_Label_ACC
163226,2003-10,-0.0346029633014249,871530.8559,871530.8559,B,B,N,G,N,A,L,H,A,N,N,B,B,B,B,B
196667,2003-10,0.0889973534101917,619712.3505,619712.3505,B,B,N,G,N,N,N,N,N,L,H,B,B,B,B,B
98907,2003-10,-0.1022846102069812,442034.2171,442034.2171,B,B,W,N,R,N,H,N,A,N,N,B,B,B,B,B
94080,2003-10,-0.0621038711103081,404478.547,404478.547,B,B,N,G,R,N,H,L,A,L,N,B,B,B,B,B
100632,2003-10,0.0259071483128987,300069.2187,300069.2187,B,B,N,G,,A,N,H,A,N,H,,B,B,B,B
272724,2003-10,0.0592647114904172,292046.1823,292046.1823,B,B,L,G,R,A,N,N,A,N,H,B,B,B,B,B
236328,2003-10,0.1009991327685713,237334.479,237334.479,B,B,W,N,,N,,,C,L,N,,B,,,B
97066,2003-10,0.0904377689342981,198239.3422,198239.3422,B,B,N,G,R,A,H,N,A,L,N,B,B,B,B,B
193553,2003-10,0.0266826498606647,179027.6241,179027.6241,B,B,W,G,N,N,N,H,A,L,N,B,B,B,B,B
34162,2003-10,0.1491170266377699,147249.9896,147249.9896,B,B,W,G,W,C,L,,C,N,H,B,B,B,,B
96379,2003-10,0.1996006117794548,125445.5084,125445.5084,B,B,N,G,,N,,,C,L,H,,B,,,B
79498,2003-10,0.1137671378122922,124649.0458,124649.0458,B,B,W,N,N,N,N,N,A,L,H,B,B,B,B,B
94103,2003-10,-0.092662341084966,122888.3595,122888.3595,B,B,W,G,R,N,H,N,N,N,L,B,B,B,B,B
95632,2003-10,0.0553376806230616,122094.9421,122094.9421,B,B,N,G,W,A,L,H,N,L,N,B,B,B,B,B
33873,2003-10,-0.0487211771754642,110235.0,110235.0,B,B,W,G,R,A,H,N,N,L,H,B,B,B,B,B
248136,2003-10,0.3064639929842048,100123.2397,100123.2397,B,B,W,G,R,N,N,H,C,L,H,B,B,B,B,B
33769,2003-10,0.1985065879167857,98748.422,98748.422,B,B,W,G,N,N,L,N,N,L,H,B,B,B,B,B
248093,2003-10,0.2329296744614086,98568.038,98568.038,B,B,W,G,R,N,H,H,N,L,H,B,B,B,B,B
93902,2003-10,0.1855279660164708,85081.8768,85081.8768,B,B,N,N,W,A,L,H,A,L,N,B,B,B,B,B
62987,2003-10,0.1182367424453427,80946.2214,80946.2214,B,B,N,G,N,A,N,L,A,L,L,B,B,B,B,B
127106,2003-10,0.2628383499457565,80344.8751,80344.8751,B,B,W,G,N,N,N,N,N,L,H,B,B,B,B,B
214297,2003-10,0.2226824694293869,80067.7624,80067.7624,B,B,L,G,,N,N,N,A,N,H,,B,B,B,B
28899,2003-10,0.1807045620721907,79970.3871,79970.3871,B,B,W,G,N,A,N,N,A,L,H,B,B,B,B,B
88297,2003-10,0.1659655011315848,77957.2786,77957.2786,B,B,N,G,,A,,,N,L,N,,B,,,B
155529,2003-10,0.1692121235558807,76125.1825,76125.1825,B,B,N,G,N,N,L,N,N,N,L,B,B,B,B,B
135496,2003-10,-0.0899490611671843,75600.0,75600.0,B,B,N,N,W,C,L,L,N,N,N,B,B,B,B,B
158982,2003-10,0.3346785534601431,69289.4065,69289.4065,B,B,W,N,W,A,L,H,A,L,N,B,B,B,B,B
47858,2003-10,0.2737243802960274,61762.5236,61762.5236,B,B,L,G,N,A,N,N,A,L,N,B,B,B,B,B
92590,2003-10,0.1162499285599898,61633.5469,61633.5469,B,B,N,G,R,A,H,N,A,N,N,B,B,B,B,B
85447,2003-10,0.2693348257286105,61079.5111,61079.5111,B,B,W,G,N,N,N,N,N,L,H,B,B,B,B,B
27747,2003-10,0.2666028469250752,52072.062,52072.062,B,B,N,G,W,N,N,H,C,L,H,B,B,B,B,B
88258,2003-10,0.2845210806003317,50993.2922,50993.2922,B,B,L,G,W,A,L,L,A,N,L,B,B,B,B,B
275062,2003-10,0.096189746019659,50923.7437,50923.7437,B,B,N,N,W,C,L,N,C,H,H,B,B,B,B,B
239726,2003-10,0.076777480532163,45640.4314,45640.4314,B,B,W,G,N,A,N,N,A,L,N,B,B,B,B,B
30136,2003-10,0.239357665944988,44224.4223,44224.4223,B,B,W,N,,N,,,N,N,H,,B,,,B
98928,2003-10,0.0857252305606461,43091.968,43091.968,B,B,W,N,N,C,N,N,C,L,H,B,B,B,B,B
164888,2003-10,0.240755167815025,39980.8687,39980.8687,B,B,W,N,,N,,,N,N,H,,B,,,B
33727,2003-10,0.087462940512395,38828.0,38828.0,B,B,W,G,N,N,N,H,A,N,H,B,B,B,B,B
248165,2003-10,0.2720783785329919,36561.6304,36561.6304,B,B,W,N,W,N,L,N,A,N,N,B,B,B,B,B
86607,2003-10,0.0993652038389736,35684.2579,35684.2579,B,B,N,G,W,N,L,N,N,L,N,B,B,B,B,B
23354,2003-10,0.0448232507513455,34811.8604,34811.8604,B,B,N,G,R,N,N,N,N,N,N,B,B,B,B,B
265414,2003-10,0.0145849052473199,34755.75,34755.75,B,B,N,V,W,C,L,L,A,N,N,B,B,B,B,B
82150,2003-10,0.0808325748636415,33632.91,33632.91,B,B,N,G,N,A,N,N,N,L,N,B,B,B,B,B
50616,2003-10,-0.0469717360935463,32937.64,32937.64,B,B,W,G,N,A,N,N,A,N,H,B,B,B,B,B
51380,2003-10,0.0530072347739709,30653.128,30653.128,B,B,W,N,,N,,,N,L,N,,B,,,B
220724,2003-10,0.2636970153286553,30305.1659,30305.1659,B,B,N,N,W,C,L,L,N,H,H,B,B,B,B,B
22859,2003-10,-0.0883196001546847,29230.2825,29230.2825,B,B,N,G,R,N,H,N,A,L,N,B,B,B,B,B
160259,2003-10,-0.0621011132033686,28573.7251,28573.7251,B,B,W,G,N,C,N,N,A,N,L,B,B,B,B,B
136444,2003-10,0.3997437407054922,27505.6388,27505.6388,B,B,W,N,N,C,N,N,C,N,H,B,B,B,B,B
100283,2003-10,0.2919338005583518,26700.7634,26700.7634,B,B,W,V,,C,L,,C,H,H,,B,B,,B
30148,2003-10,0.1630225698481993,26538.8538,26538.8538,B,B,W,N,,N,,,N,L,N,,B,,,B
149711,2003-10,0.2103831761109922,26424.0249,26424.0249,B,B,W,G,N,A,H,N,A,L,H,B,B,B,B,B
22104,2003-10,0.1979570901261034,22519.2857,22519.2857,B,B,W,G,N,C,H,N,C,L,H,B,B,B,B,B
121776,2003-10,-0.1771025646503689,21268.9582,21268.9582,B,B,W,N,R,A,H,H,A,H,L,S,S,S,S,S
41246,2003-10,0.0637870207629254,20431.0696,20431.0696,B,B,W,G,N,A,N,H,C,N,H,B,B,B,B,B
155581,2003-10,-0.12931177528159,20309.9458,20309.9458,B,B,W,G,W,N,H,H,C,H,L,S,S,S,S,S
21420,2003-10,0.1215533700605961,20150.3674,20150.3674,B,B,N,G,N,A,N,N,A,L,N,B,B,B,B,B
130382,2003-10,0.10658165825957,19313.9066,19313.9066,B,B,W,G,N,N,N,N,N,H,H,B,B,B,B,B
49138,2003-10,-0.0113932505003706,19222.5847,19222.5847,B,B,N,G,R,N,H,L,N,L,N,B,B,B,B,B
246615,2003-10,0.0154377504839284,19186.9181,19186.9181,B,B,N,G,R,A,H,H,A,N,H,B,B,B,B,B
96326,2003-10,-0.026029107863754,18785.3984,18785.3984,B,B,W,N,R,A,H,N,N,H,H,S,S,S,S,S
149537,2003-10,0.3297138650007309,18701.8405,18701.8405,B,B,N,N,W,A,L,H,A,H,H,B,B,B,B,B
272854,2003-10,-0.023139970321432,18272.9507,18272.9507,S,S,L,G,N,N,H,N,A,L,N,B,B,B,B,B
33750,2003-10,0.2329820316576587,18206.648,18206.648,S,S,W,G,R,A,N,H,A,L,H,B,B,B,B,B
61060,2003-10,0.0156666404193215,17728.106,17728.106,S,S,L,G,R,A,N,H,A,L,N,S,S,S,S,S
54885,2003-10,0.068865841701954,17502.1835,17502.1835,S,S,N,G,R,C,H,N,N,N,N,B,B,B,B,B
52835,2003-10,0.1857186105457988,17275.5,17275.5,S,S,N,G,N,A,N,N,N,L,H,B,B,B,B,B
248083,2003-10,0.3570728111278052,16835.5223,16835.5223,S,S,W,N,W,C,L,N,N,L,N,B,B,B,B,B
149899,2003-10,0.1334303143828807,16604.5361,16604.5361,S,S,N,G,,N,L,N,A,N,H,,B,B,B,B
256066,2003-10,0.0529801062616057,16561.6653,16561.6653,S,S,W,N,,A,,,N,H,N,,S,,,S
68332,2003-10,0.2157007861812327,16538.3543,16538.3543,S,S,L,G,,A,L,N,N,N,N,,B,B,B,B
122573,2003-10,0.2247330622243344,16176.9233,16176.9233,S,S,N,G,,A,,,N,N,H,,B,,,B
194371,2003-10,0.1436235401368848,15971.3705,15971.3705,S,S,W,N,W,C,N,L,C,H,L,S,S,S,S,S
81580,2003-10,0.0722408148874997,15637.6456,15637.6456,S,S,N,G,N,C,N,L,C,N,N,S,S,S,S,S
229572,2003-10,-0.1375106789495549,15547.4008,15547.4008,S,S,L,G,N,C,H,L,A,L,H,S,S,S,S,S
85543,2003-10,0.1471269020160766,15378.4228,15378.4228,S,S,W,N,N,N,L,L,N,L,H,B,B,B,B,B
159120,2003-10,0.2287631323161238,15189.8794,15189.8794,S,S,W,G,R,N,H,H,A,L,N,B,B,B,B,B
24685,2003-10,0.0555408498087468,15123.79,15123.79,S,S,W,N,N,A,N,N,A,N,H,S,S,S,S,S
226821,2003-10,0.2507797691358857,14894.0552,14894.0552,S,S,N,G,R,N,H,N,N,L,H,B,B,B,B,B
38924,2003-10,0.0706520285019793,14066.2676,14066.2676,S,S,N,G,N,N,H,L,N,L,N,S,S,S,S,S
248186,2003-10,0.0738989040801385,13737.3221,13737.3221,S,S,N,G,W,N,L,L,C,L,N,S,S,S,S,S
176766,2003-10,0.0409290896921059,13692.9059,13692.9059,S,S,L,G,R,A,N,H,A,N,N,S,S,S,S,S
245437,2003-10,0.1328303890483344,13663.4818,13663.4818,S,S,W,N,,N,,,C,N,H,,S,,,S
106584,2003-10,0.2510944820365388,13445.3557,13445.3557,S,S,W,N,,,,,,N,H,,,,,
95744,2003-10,0.0650359389419672,13423.0733,13423.0733,S,S,W,G,,A,L,L,N,N,H,,S,S,S,S
109856,2003-10,0.0332379624209522,12274.5678,12274.5678,S,S,W,N,R,A,L,H,A,N,H,S,S,S,S,S
183916,2003-10,-0.0067977266649287,12132.9133,12132.9133,S,S,N,G,N,A,L,L,N,N,H,S,S,S,S,S
107160,2003-10,0.1140625955767817,12037.6012,12037.6012,S,S,W,N,,N,,,N,N,H,,S,,,S
174726,2003-10,0.0175844803753988,11988.4159,11988.4159,S,S,L,G,R,A,H,H,A,L,N,S,S,S,S,S
98827,2003-10,0.3364225563789544,11860.6533,11860.6533,S,S,W,N,W,C,L,L,C,N,N,S,S,S,S,S
64535,2003-10,0.1682130342409769,11162.423,11162.423,S,S,L,G,W,N,L,L,C,L,N,S,S,S,S,S
63132,2003-10,0.0323204865315234,11041.8,11041.8,S,S,W,G,N,N,L,L,A,L,N,S,S,S,S,S
98964,2003-10,0.0533974610771825,10804.7581,10804.7581,S,S,W,V,W,C,N,N,N,N,N,S,S,S,S,S
258035,2003-10,-0.0203348283094904,10710.825,10710.825,S,S,W,N,N,N,L,N,N,H,H,S,S,S,S,S
25290,2003-10,0.0887196161366661,10437.4779,10437.4779,S,S,N,G,R,N,H,N,A,N,N,S,S,S,S,S
46009,2003-10,0.0038651657029633,10418.5768,10418.5768,S,S,W,V,R,A,H,H,A,H,L,S,S,S,S,S
125401,2003-10,0.257871717554812,10202.0735,10202.0735,S,S,W,N,,A,,,N,N,N,,S,,,S
270281,2003-10,0.0454178538995679,10199.7277,10199.7277,S,S,N,G,,N,,,C,N,N,,S,,,S
141598,2003-10,0.2168018019760602,10117.4708,10117.4708,S,S,W,G,R,A,H,H,A,N,H,S,S,S,S,S
43750,2003-10,0.0046890677158062,10086.1517,10086.1517,S,S,W,N,R,C,N,L,N,N,N,S,S,S,S,S
88240,2003-10,0.1280490321476739,9761.1035,9761.1035,S,S,W,N,N,N,H,N,N,H,H,S,S,S,S,S
98659,2003-10,0.1125235000772992,9701.6584,9701.6584,S,S,N,N,N,N,N,L,N,L,N,S,S,S,S,S
93947,2003-10,0.0738591996912272,9675.8145,9675.8145,S,S,L,G,,N,L,H,A,N,H,,S,S,S,S
196588,2003-10,0.0016564550415261,9554.1097,9554.1097,S,S,N,N,,C,L,H,N,N,N,,S,S,S,S
64899,2003-10,-0.1126878883478006,9319.84,9319.84,S,S,N,G,,A,H,H,A,L,H,,S,S,S,S
12011,2003-10,-0.204335346886653,9088.478,9088.478,S,S,W,G,N,C,N,L,N,H,H,S,S,S,S,S
148911,2003-10,-0.0586410172554642,9045.4704,9045.4704,S,S,W,G,N,A,N,L,A,H,H,S,S,S,S,S
100750,2003-10,-0.0667761125405752,9037.9184,9037.9184,S,S,N,G,N,N,H,N,N,L,N,S,S,S,S,S
21042,2003-10,0.0243462085600336,8923.3334,8923.3334,S,S,W,V,N,C,L,H,A,H,N,S,S,S,S,S
195517,2003-10,-0.0090942911618679,8461.3506,8461.3506,S,S,N,N,W,N,L,N,N,L,N,S,S,S,S,S
29678,2003-10,0.2860645253090743,8414.0633,8414.0633,S,S,N,N,N,A,L,L,N,N,L,S,S,S,S,S
214966,2003-10,0.0963650653835159,8388.3794,8388.3794,S,S,W,N,W,C,N,H,C,H,H,S,S,S,S,S
252196,2003-10,-0.1287076771189836,8292.5413,8292.5413,S,S,W,G,N,C,N,L,A,N,H,S,S,S,S,S
40470,2003-10,-0.1007953665310633,8021.925,8021.925,S,S,L,G,R,A,H,N,A,L,H,S,S,S,S,S
83013,2003-10,0.0696000794828033,7952.4667,7952.4667,S,S,N,G,R,C,H,N,C,L,N,S,S,S,S,S
86816,2003-10,-0.0149845304711544,7931.687,7931.687,S,S,N,N,N,N,N,L,N,L,H,S,S,S,S,S
21283,2003-10,0.0371133237141716,7632.544,7632.544,S,S,W,G,R,A,N,H,A,L,H,S,S,S,S,S
273275,2003-10,0.0659719801384111,7523.7475,7523.7475,S,S,N,G,N,A,N,N,A,N,N,S,S,S,S,S
175214,2003-10,0.0047402551622783,7516.472,7516.472,S,S,N,G,R,N,H,N,N,L,N,S,S,S,S,S
134435,2003-10,0.0024155613153848,7468.4284,7468.4284,S,S,N,G,R,C,L,L,C,N,H,S,S,S,S,S
10678,2003-10,-0.0315336537212717,7288.7099,7288.7099,S,S,W,G,N,N,N,L,N,L,H,S,S,S,S,S
96407,2003-10,-0.0697303274134341,7070.6159,7070.6159,S,S,N,N,N,N,N,L,A,L,H,S,S,S,S,S
240069,2003-10,0.1436255943921696,7027.4899,7027.4899,S,S,W,G,N,N,H,H,A,L,N,S,S,S,S,S
44220,2003-10,-0.0221424649088718,7023.8,7023.8,S,S,N,N,N,N,N,L,N,L,N,S,S,S,S,S
33723,2003-10,0.2208170506671474,6895.1054,6895.1054,S,S,W,V,N,N,N,N,C,H,H,S,S,S,S,S
73332,2003-10,-0.0686249307461283,6833.3872,6833.3872,S,S,W,N,N,A,N,N,C,N,N,S,S,S,S,S
250369,2003-10,0.1096013919350922,6765.6947,6765.6947,S,S,W,N,W,N,N,N,N,N,N,S,S,S,S,S
13126,2003-10,-0.0565311867896926,6745.4319,6745.4319,S,S,W,G,R,N,N,N,N,H,H,S,S,S,S,S
247160,2003-10,-0.1306130153906822,6653.9109,6653.9109,S,S,N,N,N,N,L,L,N,N,H,S,S,S,S,S
102576,2003-10,-0.0540935059521823,6512.5,6512.5,S,S,W,N,R,N,H,N,A,H,N,S,S,S,S,S
164629,2003-10,-0.1034478863822739,6448.8592,6448.8592,S,S,W,N,W,A,L,H,A,H,H,S,S,S,S,S
69565,2003-10,0.1522408737489458,6320.4958,6320.4958,S,S,L,N,W,A,L,L,A,N,N,S,S,S,S,S
86720,2003-10,-0.0509199907035428,6315.6712,6315.6712,S,S,L,G,N,A,N,N,A,L,H,S,S,S,S,S
132572,2003-10,0.1212262351850534,6296.4009,6296.4009,S,S,N,N,R,N,H,N,N,L,N,S,S,S,S,S
96465,2003-10,0.0124759605603781,6288.4787,6288.4787,S,S,N,N,,A,,,C,N,N,,S,,,S
18102,2003-10,-0.0423631273272002,6220.2415,6220.2415,S,S,N,G,N,C,N,N,C,L,N,S,S,S,S,S
71477,2003-10,0.0547625274282677,6217.6993,6217.6993,S,S,W,G,N,N,N,N,N,N,N,S,S,S,S,S
240215,2003-10,0.3329061577773107,6201.9284,6201.9284,S,S,W,G,R,N,H,N,A,L,H,S,S,S,S,S
110698,2003-10,0.0047433327095773,6193.1563,6193.1563,S,S,W,G,R,A,N,N,N,H,H,S,S,S,S,S
141081,2003-10,-0.1684734567255946,6158.1409,6158.1409,S,S,N,N,,A,N,L,A,H,L,,S,S,S,S
149616,2003-10,-0.0295472799811753,6144.7015,6144.7015,S,S,W,G,R,N,H,N,A,H,N,S,S,S,S,S
93468,2003-10,-0.3546651605625331,6035.1658,6035.1658,S,S,L,V,W,C,L,L,C,H,L,S,S,S,S,S
71060,2003-10,0.3700649839815082,6028.8302,6028.8302,S,S,W,N,R,C,H,N,N,N,N,S,S,S,S,S
216946,2003-10,0.0163689499373727,5976.1387,5976.1387,S,S,W,N,N,C,N,H,N,H,H,S,S,S,S,S
102484,2003-10,-0.0285402025345646,5971.7052,5971.7052,,S,L,,W,A,L,H,A,H,L,S,S,S,S,S
94062,2003-10,0.2422478417371127,5860.1298,5860.1298,S,S,N,G,N,N,L,N,A,N,N,S,S,S,S,S
18151,2003-10,0.1431827821175368,5714.3523,5714.3523,S,S,N,G,R,N,H,N,A,N,L,S,S,S,S,S
152087,2003-10,0.1751942987880896,5706.566,5706.566,S,S,L,N,W,C,L,L,C,H,H,S,S,S,S,S
140097,2003-10,-0.0238808107933892,5653.55,5653.55,S,S,N,G,N,C,H,N,C,L,L,S,S,S,S,S
135716,2003-10,-0.0228485959684839,5640.575,5640.575,S,S,L,G,R,A,H,N,A,N,H,S,S,S,S,S
93259,2003-10,-0.1501022238835748,5596.9791,5596.9791,S,S,W,G,N,C,N,N,N,H,H,S,S,S,S,S
100224,2003-10,-0.0730077064812713,5395.5611,5395.5611,S,S,W,N,,C,,,C,N,L,,S,,,S
52418,2003-10,0.1041035236261749,5346.6356,5346.6356,S,S,W,N,R,C,N,L,N,H,N,S,S,S,S,S
64644,2003-10,0.0734598598114251,5294.4243,5294.4243,S,S,N,G,R,N,H,N,A,L,N,S,S,S,S,S
84205,2003-10,0.0866258059828375,5128.5715,5128.5715,S,S,W,N,R,N,H,N,A,N,H,S,S,S,S,S
199485,2003-10,-0.0149671453261975,4780.1368,4780.1368,S,S,L,N,,,,,,N,N,,,,,
77413,2003-10,-0.1540438643906072,4746.6546,4746.6546,S,S,L,V,W,N,L,N,N,N,N,S,S,S,S,S
121992,2003-10,-0.041713128986885,4730.0,4730.0,S,S,W,G,,A,L,N,A,H,L,,S,S,S,S
117648,2003-10,0.1664728170762508,4713.0467,4713.0467,S,S,N,N,,A,,,N,N,N,,S,,,S
36277,2003-10,-0.0013994500999906,4644.5884,4644.5884,S,S,N,G,R,N,H,L,A,L,H,S,S,S,S,S
82197,2003-10,0.1137335439763809,4631.0894,4631.0894,S,S,W,G,R,A,N,H,A,L,H,S,S,S,S,S
66728,2003-10,-0.0320295301061286,4614.8112,4614.8112,S,S,L,N,N,N,N,N,A,L,N,S,S,S,S,S
103261,2003-10,-0.0234099997811937,4514.9878,4514.9878,S,S,N,G,N,A,N,N,A,N,H,S,S,S,S,S
248135,2003-10,0.151113892120102,4362.6851,4362.6851,S,S,W,N,,N,,,A,N,N,,S,,,S
269333,2003-10,-0.0173315561507372,4315.6414,4315.6414,S,S,N,G,,A,L,H,A,N,H,,S,S,S,S
5747,2003-10,-0.0278827025995364,4306.9596,4306.9596,S,S,N,N,W,C,H,L,N,N,N,S,S,S,S,S
98379,2003-10,-0.0262652162838374,4277.0697,4277.0697,S,S,N,N,W,C,L,L,C,H,N,S,S,S,S,S
236746,2003-10,0.1201066544238884,4192.5312,4192.5312,S,S,W,G,W,A,L,H,A,H,H,S,S,S,S,S
133694,2003-10,-0.0877377067944168,4152.6756,4152.6756,S,S,N,G,N,A,L,H,A,N,H,S,S,S,S,S
245544,2003-10,0.0255424630756235,4142.0163,4142.0163,S,S,N,G,,,,,,N,N,,,,,
179481,2003-10,0.1939130346763737,4098.9789,4098.9789,S,S,W,V,N,C,H,N,C,H,H,S,S,S,S,S
8354,2003-10,0.1953694458139916,4008.4831,4008.4831,S,S,N,N,W,N,N,N,N,N,L,S,S,S,S,S
167122,2003-10,0.0991247170330564,3888.2189,3888.2189,S,S,N,N,,A,,,N,L,N,,S,,,S
26076,2003-10,0.1184549818959539,3819.7651,3819.7651,S,S,N,G,N,N,H,L,N,L,N,S,S,S,S,S
73325,2003-10,0.024321955754202,3774.543,3774.543,S,S,L,N,W,C,L,L,C,N,H,S,S,S,S,S
82982,2003-10,0.0063307645914489,3753.4411,3753.4411,S,S,N,G,R,N,H,N,N,L,N,S,S,S,S,S
248098,2003-10,0.0308667314876214,3616.5039,3616.5039,,S,W,,,C,L,H,N,H,N,,S,S,S,S
236922,2003-10,-0.2432041713647242,3606.0501,3606.0501,S,S,L,N,W,N,L,L,C,H,H,S,S,S,S,S
14268,2003-10,0.1415877787963717,3571.5758,3571.5758,S,S,L,G,,,,,,L,H,,,,,
86802,2003-10,0.0428507001707882,3564.78,3564.78,S,S,N,N,W,A,L,N,A,N,H,S,S,S,S,S
82919,2003-10,-0.5607541685788437,3545.6,3545.6,S,S,W,G,W,C,H,L,C,H,H,S,S,S,S,S
72607,2003-10,0.1622296559980549,3500.6484,3500.6484,S,S,W,V,,A,,,N,H,N,,S,,,S
69140,2003-10,0.1296683186873937,3496.0404,3496.0404,S,S,N,V,W,C,L,L,N,N,N,S,S,S,S,S
36303,2003-10,0.1427498654515155,3399.7861,3399.7861,S,S,W,N,R,N,H,N,C,H,L,S,S,S,S,S
141201,2003-10,-0.1144828430058195,3386.5153,3386.5153,S,S,L,G,,A,N,H,A,H,N,,S,S,S,S
23709,2003-10,-0.1267242818895608,3378.75,3378.75,S,S,N,G,N,A,H,H,A,N,H,S,S,S,S,S
29433,2003-10,0.024041652627611,3356.2837,3356.2837,S,S,L,G,R,A,H,H,A,N,L,S,S,S,S,S
25287,2003-10,0.0530079144148749,3338.1723,3338.1723,S,S,N,G,N,C,N,L,N,L,N,S,S,S,S,S
86750,2003-10,0.3991760556213304,3329.8409,3329.8409,S,S,W,N,W,C,L,N,N,N,N,S,S,S,S,S
66917,2003-10,0.1427271437208053,3324.0,3324.0,S,S,W,G,R,N,H,N,N,N,H,S,S,S,S,S
250620,2003-10,0.1881675315505449,3300.2083,3300.2083,S,S,L,G,N,A,L,H,A,L,N,S,S,S,S,S
117230,2003-10,0.0662878628644536,3298.5915,3298.5915,S,S,N,V,,A,,,N,H,N,,S,,,S
240037,2003-10,0.2750879889460724,3292.8,3292.8,S,S,N,N,W,A,L,N,N,L,N,S,S,S,S,S
251664,2003-10,0.5418195356080451,3284.8662,3284.8662,S,S,N,G,R,N,N,N,C,N,N,S,S,S,S,S
222402,2003-10,-0.0139225821766116,3205.0247,3205.0247,S,S,W,N,N,N,N,N,C,N,N,S,S,S,S,S
66185,2003-10,0.1334406520183444,3198.872,3198.872,S,S,W,G,R,N,H,H,A,N,N,S,S,S,S,S
93698,2003-10,0.11054332474008,3168.6759,3168.6759,S,S,W,N,W,N,L,N,A,L,N,S,S,S,S,S
269920,2003-10,0.1474963854250572,3093.7723,3093.7723,S,S,W,G,R,N,H,H,N,N,N,S,S,S,S,S
37451,2003-10,0.6419625043180044,3012.7778,3012.7778,S,S,N,N,N,N,N,N,N,N,H,S,S,S,S,S
32433,2003-10,0.092636871199689,2996.053,2996.053,S,S,N,G,R,C,H,N,N,L,H,S,S,S,S,S
93858,2003-10,0.2613516992973201,2993.543,2993.543,S,S,N,N,W,N,H,L,N,L,N,S,S,S,S,S
170019,2003-10,0.5710870879232732,2990.4267,2990.4267,S,S,W,N,W,A,N,H,A,H,N,S,S,S,S,S
7294,2003-10,-0.1172001649125219,2979.5,2979.5,S,S,L,N,W,A,L,H,A,H,N,S,S,S,S,S
29728,2003-10,0.0882859032742322,2972.9618,2972.9618,S,S,N,N,N,A,N,N,N,N,L,S,S,S,S,S
10566,2003-10,-0.1617806592585525,2946.0587,2946.0587,S,S,W,N,R,N,N,L,C,N,H,S,S,S,S,S
203025,2003-10,0.2937723036541404,2930.735,2930.735,S,S,W,N,,A,N,N,N,N,N,,S,S,S,S
40112,2003-10,0.9251606827485714,2910.3394,2910.3394,S,S,W,V,N,C,L,N,C,H,N,S,S,S,S,S
380893,2003-10,0.1383248033343749,2881.9658,2881.9658,S,S,N,G,N,A,H,N,A,N,H,S,S,S,S,S
248092,2003-10,-0.0087543986774968,2824.2366,2824.2366,S,S,L,G,R,C,H,L,N,N,N,S,S,S,S,S
146797,2003-10,0.1142612610346391,2820.6402,2820.6402,S,S,N,G,R,N,H,H,A,L,N,S,S,S,S,S
30157,2003-10,0.1733620790027363,2780.5999,2780.5999,S,S,W,N,,A,,,N,N,N,,S,,,S
64529,2003-10,-0.0905794655902462,2765.8115,2765.8115,S,S,N,V,N,C,N,L,N,N,H,S,S,S,S,S
260926,2003-10,0.0185785237338227,2757.9269,2757.9269,S,S,N,G,R,A,H,L,A,N,N,S,S,S,S,S
156454,2003-10,0.0955061032771571,2701.3581,2701.3581,S,S,L,G,N,A,H,H,A,L,N,S,S,S,S,S
219657,2003-10,-0.0573018475948398,2694.0627,2694.0627,S,S,W,N,N,A,H,N,A,N,H,S,S,S,S,S
254924,2003-10,-0.0297896218849909,2686.8528,2686.8528,S,S,N,N,N,N,H,N,C,L,H,S,S,S,S,S
253375,2003-10,0.1385637490398923,2679.9592,2679.9592,S,S,N,G,W,N,L,H,N,L,N,S,S,S,S,S
4253,2003-10,0.0010384883655509,2679.4423,2679.4423,S,S,W,N,,N,L,H,N,H,H,,S,S,S,S
49262,2003-10,0.070213220373507,2645.715,2645.715,S,S,L,G,N,C,H,N,N,L,H,S,S,S,S,S
94094,2003-10,-0.0306945217594252,2637.6476,2637.6476,S,S,W,N,,C,L,H,N,H,L,,S,S,S,S
30156,2003-10,0.0201054368081221,2619.75,2619.75,S,S,W,N,,N,,,C,L,N,,S,,,S
52194,2003-10,0.097018191204127,2591.0525,2591.0525,S,S,N,G,,A,L,N,A,L,H,,S,S,S,S
264965,2003-10,-0.0081307214005095,2541.0692,2541.0692,S,S,N,G,N,A,N,N,N,N,H,S,S,S,S,S
57378,2003-10,0.2210588518590286,2531.4819,2531.4819,S,S,N,N,N,N,N,N,A,L,H,S,S,S,S,S
