universe,portfolio,strategy,weighting,rebalance_months,tc_bps,growth_multiple,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,avg_turnover_pct,avg_long_stocks,avg_short_stocks,last_long_stocks,last_short_stocks,months,monthly_rebalance_ann_return,monthly_rebalance_sharpe,monthly_rebalance_max_dd,monthly_rebalance_growth,ann_return_minus_monthly,sharpe_minus_monthly,max_dd_minus_monthly,growth_vs_monthly
all,SMB small-minus-big,long_short,vw,1,0,2.4553,4.04,13.44,0.362,-43.6,15.5,1838.2,198.4,3060,342,272,4.04,0.362,-43.6,2.4553,0.0,0.0,0.0,1.0
all,SMB small-minus-big,long_short,vw,1,10,2.3589,3.86,13.44,0.349,-43.77,15.5,1838.2,198.4,3060,342,272,3.86,0.349,-43.77,2.3589,0.0,0.0,0.0,1.0
all,SMB small-minus-big,long_short,vw,1,20,2.2662,3.68,13.44,0.336,-43.94,15.5,1838.2,198.4,3060,342,272,3.68,0.336,-43.94,2.2662,0.0,0.0,0.0,1.0
all,SMB small-minus-big,long_short,vw,1,50,2.0092,3.13,13.44,0.296,-44.45,15.5,1838.2,198.4,3060,342,272,3.13,0.296,-44.45,2.0092,0.0,0.0,0.0,1.0
all,SMB small-minus-big,long_short,vw,1,100,1.6437,2.22,13.44,0.23,-45.29,15.5,1838.2,198.4,3060,342,272,2.22,0.23,-45.29,1.6437,0.0,0.0,0.0,1.0
all,SMB small-minus-big,long_short,vw,2,0,2.5948,4.3,13.62,0.377,-43.29,12.1,1822.0,197.9,2668,344,272,4.04,0.362,-43.6,2.4553,0.2599999999999998,0.015000000000000013,0.3100000000000023,1.0568158677147397
all,SMB small-minus-big,long_short,vw,2,10,2.5166,4.16,13.62,0.367,-43.43,12.1,1822.0,197.9,2668,344,272,3.86,0.349,-43.77,2.3589,0.30000000000000027,0.018000000000000016,0.3400000000000034,1.066853194285472
all,SMB small-minus-big,long_short,vw,2,20,2.4408,4.02,13.61,0.357,-43.57,12.1,1822.0,197.9,2668,344,272,3.68,0.336,-43.94,2.2662,0.3399999999999994,0.020999999999999963,0.36999999999999744,1.0770452740270056
all,SMB small-minus-big,long_short,vw,2,50,2.2267,3.59,13.6,0.327,-44.0,12.1,1822.0,197.9,2668,344,272,3.13,0.296,-44.45,2.0092,0.45999999999999996,0.031000000000000028,0.45000000000000284,1.1082520406131795
all,SMB small-minus-big,long_short,vw,2,100,1.9103,2.9,13.58,0.278,-44.7,12.1,1822.0,197.9,2668,344,272,2.22,0.23,-45.29,1.6437,0.6799999999999997,0.048000000000000015,0.5899999999999963,1.162195047758107
