portfolio_year,required_full_weeks,price_pass,weekly_trade_pass,microcap_pass,reconstructed_pass,september_median_market_cap,canonical_pass_with_daily_match,intersection,precision_vs_canonical,recall_vs_canonical,jaccard
2007,51,1577,1674,1915,1208,556.205,1550,1196,0.9900662251655629,0.7716129032258064,0.765685019206146
2008,51,1793,1825,2098,1434,390.55445,1672,1406,0.9804741980474198,0.8409090909090909,0.8270588235294117
2009,52,1516,1704,2098,1161,475.87694999999997,1462,1155,0.9948320413436692,0.7900136798905609,0.7867847411444142
2010,51,1915,2018,2212,1529,663.4906,1804,1518,0.9928057553956835,0.8414634146341463,0.8363636363636363
2011,51,2002,2054,2314,1606,486.4446,1834,1588,0.9887920298879203,0.8658669574700109,0.857451403887689
2012,51,1948,1949,2452,1472,410.9456,1682,1451,0.985733695652174,0.8626634958382877,0.8520258367586612
2013,51,1954,1527,2383,1217,395.0908,1338,1175,0.9654889071487264,0.8781763826606876,0.8514492753623188
2014,51,1963,1603,2571,1249,523.3582,1502,1238,0.9911929543634908,0.8242343541944075,0.8182419035029742
2015,52,2282,1967,2506,1611,563.9811,1773,1582,0.9819987585350713,0.892272983643542,0.8779134295227525
2016,51,2350,1949,2631,1619,665.0,1807,1610,0.9944410129709698,0.8909795240730493,0.8865638766519823
2017,51,2579,2055,2665,1784,867.4293,1939,1777,0.9960762331838565,0.9164517792676637,0.9131551901336074
2018,51,2759,2165,2958,1923,676.478,2086,1902,0.9890795631825273,0.9117929050814957,0.9027052681537732
2019,51,2667,2140,2989,1790,504.5232,1930,1774,0.9910614525139665,0.9191709844559586,0.9116135662898253
2020,52,2462,2130,3081,1689,465.8745,1844,1672,0.9899348727057431,0.9067245119305857,0.8984416980118216
2021,51,2699,2300,3155,1835,822.5418999999999,2195,1826,0.9950953678474115,0.8318906605922551,0.8284936479128857
2022,51,3207,3004,3321,2403,1150.9698,2644,2383,0.9916770703287557,0.901285930408472,0.8945195195195195
2023,51,3509,3274,3592,2627,1329.40585,2859,2610,0.9935287400076133,0.912906610703043,0.9075104311543811
2024,51,4095,3674,3971,2977,2158.3886,3302,2952,0.9916022841787034,0.8940036341611145,0.8872858431018936
