portfolio_year,rows,matched,coverage
2003,8862,0,0.0
2004,13169,0,0.0
2005,20146,0,0.0
2006,21418,13890,0.6485199365020077
2007,23445,16020,0.6833013435700576
2008,25224,17526,0.6948144624167459
2009,21626,16434,0.7599186164801628
2010,26461,17184,0.6494085635463512
2011,26852,19944,0.742737971100849
2012,24113,18988,0.7874590469871023
2013,18835,15080,0.8006371117600213
2014,20513,14938,0.7282211280651294
2015,23534,16838,0.7154754822809553
2016,23478,19699,0.8390408041570833
2017,24713,20368,0.8241816048233723
2018,26166,21869,0.8357792555224337
2019,23919,21619,0.9038421338684728
2020,22692,20585,0.9071478935307598
2021,26715,21538,0.8062137376005989
2022,31889,25393,0.7962933927059488
2023,34201,29963,0.876085494576182
2024,39206,32654,0.832882722032342
2025,26782,23963,0.8947427376596221
